ocr_text,document_type
"age proof issued by 45 mg road bengaluru municipality
5chool leaving certificate
date of birth @s per sch0ol records 02/04/2017
certificate of age",Age Proof
"conta de luz endereço 221b baker street
fatura refercnte ao mês fevereir0
comprovante de residência
companhia de energia elétrica",Comprovante de Residência
"avaliação  de deficiência
laudo médico
cid 02ida0
percentual de incapacidade 96%
médico responsável james carter",Medical/Disability Report
"nome do usuário rohan mehta
ministério da saúde
número do cartão 33105860
sistema únic0 de saúde sus 
",Cartão Nacional de Saúde
"cpf  númer0 38703973
nome completo car1os rodrigues
cadastro de pessoas físicas
data de nasciment0 03/05/2008
receita federal do brasil",CPF
"cid dagi9i
laudo médico
percentual de incapacidade 80%",Medical/Disability Report
"cid 2b839h
médico responsáve1 maria souza
laudo médico
percentual de incapacidade 24%",Medical/Disability Report
"carteira de identidade
registro geral
filiação anita desai",RG (ID)
"renda  familiar 9644.90
cadastro único para programas sociais
número de identificação soci@l nis 52501679
número do cadúnico 196185",CadÚnico Registration
"national identity document used for kyc verification in india
enrolment no 0421499363",Aadhaar Card
"card showing an individual's social security number
social security card issued",Social Security Number
"attcnding physician maria souza
diagn0sis 221b baker street
patient medical record
date of visit 02/08/1983
treatment summary discharge notes",Medical Records
"family  members 27
fair price shop
r@tion c@rd no 552551",Ration Card
"date of visit 26/03/1978
attending physician vikram rao
patient medica1 record",Medical Records
"wages tips other compensation 9200.47
employer identification numbcr 903412749523
ye@r to date gross 9542.92
federal income tax withheld 6324.90
pay stub earnings statement",Proof of Income
"government issued personal identification number for benefits and tax purposes
social security administration 
",Social Security Number
"brazilian taxpayer registration number issued by receita federal 
",CPF
"filiação  rohan mehta
registro geral
rg número 491643
carteira de identidade
secretari@ de scguranç@ púb1ica",RG (ID)
"government document confirming date and place of birth
municipal corporation birth registry",Birth Certificate
"trct
data  do aviso prévio 28/12/1962
saldo de sa1ári0 3443.26",Termo de Rescisão
"d0cument  used to prove current home address for an application
residency verification 1etter 
",Proof of Residency
"brazilian government rcgistry for low-income families seeking social programs
número de identificação social nis 32314522",CadÚnico Registration
"contrato dc trabalho
ctps número 67870846 série 67870846
data de admissão 03/11/1982
carteira de trabalho c previdência social",Carteira de Trabalho
certificate  confirming household income for the past year,Income Certificate
"data do aviso prévio 26/06/1969
termo dc rescisão do contrato dc trabalho
trct
saldo de salário 3877.03",Termo de Rescisão
"bpl card holder james carter
below poverty line certificate
bpl survey no 626489430760",BPL Certificate
"d0cument confirming a household falls below the poverty line
bpl card holder maria souza",BPL Certificate
"número do cartão 807944090847
nome do usuário james carter
sistema único de saúde sus
ministério da 5aúde
cartão nacional de 5aúdc 
",Cartão Nacional de Saúde
"ccrtificate of annua1 income
this is to certify that mr/mrs priya nair
valid for one year from date of issue 
",Income Certificate
"earnings  statement
pay period ending 21/12/2017
emp1oyee id 273487348305
gross earnings 9005.07
federal tax state tax net pay 319.24",Last Pay Stubs
document confirming a household falls below the poverty line,BPL Certificate
"summary  of a person's past jobs and employment dates
employment history summary 
",Work History
"certificate  confirming household income for the past year 
",Income Certificate
"brazilian  document confirming the termination of an employment contract
trct",Termo de Rescisão
recent  earnings statement from an employer showing p@y and deductions,Last Pay Stubs
"medical  board assessment
udid number 482256222931
percentagc of disabi1ity 33%
certificate of disability
issucd by district hospital",Disability Certificate
"trct
saldo de salário 2910.46
termo de rescisão do contrato de trabalho
data do aviso prévio 26/07/1980",Termo de Rescisão
brazilian document confirming the termination of an employment contract,Termo de Rescisão
"utility  bill service address 12 main st springfield
m0nthly rent 8553.63
lease agreement between landl0rd and tenant",Proof of Residency
"comprovante de residência
companhia de energia elétrica
conta de luz endereço 300 lakcview ave chicago
fatura refcrente ao mês january",Comprovante de Residência
"avaliação  de deficiência
médico responsável maria souza
cid 4agjg8
percentual dc incapacidade 70%",Medical/Disability Report
"photo identificati0n document
driving license number 336606
passport no 71095027 
",Government ID
"termo de rescisão do contrato de trabalho
trct
data do aviso prévio 20/03/1964
saldo de salário 5493.22",Termo de Rescisão
"fatura referente ao mês fevereiro
companhi@ de energia elétrica
conta de luz endereço 45 mg road bengaluru
comprovante de residência",Comprovante de Residência
"clinical notes from a doctor's visit or hospital stay
date of visit 08/09/1961",Medical Records
"doctor's  evaluation used to certify a disability in brazil
avaliação de deficiência 
",Medical/Disability Report
"pay  stub earnings statement
wages tips other compensation 6682.93
empl0yer identification number 6671918519
year t0 date gross 3364.19
federal incomc tax withheld 7320.04",Proof of Income
"dates  of employment 20/03/1997 to 20/03/1997
employment history summary
work history vcrification letter
employer priya nair position 221b baker street",Work History
"recent earnings statement from an employer showing pay and deductions
fedcral tax state tax net pay 3612.32",Last Pay Stubs
"medical certification stating the type and percentage of disability
medic@l board assessment",Disability Certificate
"sistem@ único de saúde sus
ministério da saúde
cartão nacional de saúde
nome do usuário james carter",Cartão Nacional de Saúde
"rg  número 663424139324
filiação fernanda lima
secretari@ de segurança pública
carteira de idcntidade
registro geral",RG (ID)
"federal income tax withheld 2049.44
wages tips other compensation 233.61
employer identification number 045804043736
form w-2 wage and tax statement
pay 5tub earnings statement",Proof of Income
"5ecurity deposit 6757.57
monthly rent due on the first of each month 2186.54
rcsidcntial leasc agreement
landlord john silva tenant john silva 
",Lease Agreement
"lease agreement between landlord and tenant
monthly rent 4240.41
residency verification letter
utility bill service addrcss 12 main st springfield
property address 12 main st springfield",Proof of Residency
"single registry number used to apply for brazi1ian social benefits
cadastro único para programas soci@is",CadÚnico Registration
medical certification stating the type and pcrcentage of disability,Disability Certificate
"issued by gram panch@yat office
bpl survey no 393684926511
below poverty linc certificate
bpl card holder vikram rao
family income below poverty line threshold",BPL Certificate
this letter confirms i live at this address and pay rent monthly,Lease Agreement
"comprovante de residência
cont@ de luz endereço 300 lakeview ave chicago
companhia de encrgia e1étrica
fatura referentc ao mês february",Comprovante de Residência
"a utility bill or letter showing where s0meone currently lives
proof of residence",Address Proof
"date of birth as per school records 09/05/1971
certificate of age
age proof issued by 12 main st springfield municipality",Age Proof
most recent paycheck stub used to verify current income,Last Pay Stubs
"this is to certify that mr/mrs carlos rodrigues
has an annual income of rs 9501.23
issued by tehsildar 0ffice",Income Certificate
"d0cument listing all family members eligible for subsidized rations
catcgory bpl/apl",Ration Card
shows  gross earnings and net amount paid to an employee,Income Proof
"household card used t0 buy subsidized f0od grains from the government shop
card type: above poverty line 
",Ration Card
"unique identification number issued to indian residents by uidai
gender male",Aadhaar Card
"attending physician roh@n mehta
treatment summary disch@rge notes
date of visit 19/07/1993
diagnosis 45 mg road bengaluru",Medical Records
"certificate of disability
issued by district hospital
medical 8oard assessment
disability type: loc0motor/visual/hearing
percentage of disability 4%
udid number 3181306440",Disability Certificate
"pay period 08/04/2013
sa1ary slip for the month of june
net payable 4949.85
basic salary hra deductions
gross pay 5764.05
empl0yee name sarah johnson",Income Proof
"f@mily  income below povcrty line threshold
bpl card h0lder maria s0uza
bclow poverty line ccrtific@te
issued by gram panchayat office
bpl survey no 2483014196",BPL Certificate
"national  health card used to access public healthcare services in brazil
númcro do cartão 560558 
",Cartão Nacional de Saúde
"identific@tion card issued by department of motor vehicles
driving license number 4174736680
photo identification document
valid unti1 07/09/2008",Government ID
"official work permit document used in brazil for forma1 employment 
",Carteira de Trabalho
"certificate of annual income
income certificatc no 43680815
this is to certify that mr/mrs vikram rao",Income Certificate
"document  confirming a household falls below the poverty line
bpl survcy no 342566",BPL Certificate
"rati0n card no 474995639635
category bpl/apl
card type: above poverty line",Ration Card
certificate confirming household income for the past year,Income Certificate
doctor's evaluation used to certify a disability in brazil,Medical/Disability Report
"addrcss: 12 main st springfield
a@dhaar no 640166403730
gender male
dob 19/11/1989
government of india unique identific@tion authority of india
uidai मेरा आधार मेरी पहचान",Aadhaar Card
"document showing monthly take-home pay and deductions from an employer
net payable 7471.14 
",Income Proof
official record of when and where a person was born,Birth Certificate
"ministéri0  da saúde
número do cartão 39136370
nome do usuário fernanda lim@ 
",Cartão Nacional de Saúde
"federal income tax withheld 7129.77
wages tips other compensation 9897.65
pay stub earnings statcment
employer identific@tion number 882567
year to date gross 340.11",Proof of Income
"monthly rent due on the first of cach month 7318.10
leasc term begins 03/05/1966 ends 03/05/1966
landlord vikram r@o tenant vikram rao
residential lease agreement
security deposit 5512.75",Lease Agreement
"número dc identificação social nis 719458
númcro do cadúnico 106072
cadastro únic0 para progr@mas sociais
renda familiar 2650.89",CadÚnico Registration
contract  between a landlord and tenant for renting a property,Lease Agreement
"government certification of low-income family status
below poverty line certificate",BPL Certificate
"di@gnosis 45 mg road bengaluru
date of visit 11/04/1990
attending physician rohan mehta
treatment summary discharge notcs
patient medical record 
",Medical Records
government-issued  proof of annual family income,Income Certificate
"brazilian document c0nfirming the termination of an employment contract
data do aviso prévio 16/06/1997",Termo de Rescisão
"cadastro único para programas sociais
renda familiar 353.37
número do c@dúnico 84030801
númcr0 de idcntificação 5ocial nis 1439672510 
",CadÚnico Registration
"recent earnings statement from an employer showing pay and deductions
earnings statemcnt",Last Pay Stubs
"certificate  0f age
date of birth as per sch0o1 records 19/08/2002
school leaving certificate
age proof issued by 300 lakcview ave chicago municipality",Age Proof
"document  confirming a household falls below the poverty line
bel0w poverty line certificate",BPL Certificate
"opening  8alance 8928.78 closing balance 8928.78
account statement
account number 35878693
ifsc code g5gebi
branch name rua das f1ores 88 sao paulo",Bank Statement
"ctps número 89281317 série 89281317
contrato de tr@balho
d@ta de admissã0 09/07/1992
carteira de trabalho e previdência s0cial",Carteira de Trabalho
"n0me completo fernanda lima
cadastro de pessoas físicas
cpf número 14499693",CPF
"unique  idcntification number issued to indian residents by uidai
governmcnt of india unique identification authority 0f india 
",Aadhaar Card
"document sh0wing monthly take-h0me pay and deductions from an employer
net payable 6060.21",Income Proof
"gross pay 3295.99
nct p@yable 6405.68
pay period 16/09/1966",Income Proof
letter verifying previous employment and job titles,Work History
"valid until 25/03/2004
passport no 725666924470
identification card issued by department of motor vehicles
driving license number 3725547332",Government ID
paystub listing salary breakdown for the pay period,Income Proof
"médico responsáve1 james carter
cid 29bjga
avaliaçã0 dc deficiência
percentual de incapacidade 4% 
",Medical/Disability Report
"sale deed
title deed of ownership
property situated at 78 andhcri east mumbai
this indenture made between
registered document no 9215052546 
",Property Documents
"ye@r to date gross 6657.83
wages tips other compens@tion 8096.38
pay stub earnings statement
form w-2 wage and tax statement",Proof of Income
"summary of a person's past jobs and employment dates
employment history summary",Work History
rcgistered  deed transferring ownership of real estate,Property Documents
"employer anita desai position 300 lakeview ave chicago
employment history summary
dates of employment 22/06/1960 to 22/06/1960
work history verification letter",Work History
"account number 214404
opening balance 1698.82 closing balance 1698.82
statement period 25/12/1987 to 25/12/1987
account statement",Bank Statement
"utility bill service address 78 andheri east mumbai
propcrty address 45 mg road bengaluru
monthly rent 2186.08",Proof of Residency
"legal paperwork proving who owns a piece of land or a house
this indenture m@de between",Property Documents
"title deed of ownership
this indenture m@de between
property situated at 45 mg road bengaluru
survey number 386882675084 plot area
sale dced
registered document no 387340 
",Property Documents
"official w0rk permit document used in brazil for formal employment 
",Carteira de Trabalho
"employment hist0ry summary
employer james cartcr position 45 mg road bengaluru
work history verificati0n letter",Work History
"shows gross earnings and nct amount paid to an employce
net payable 7675.75 
",Income Proof
"below poverty line certific@te
issued by gram panchayat office
family income be1ow poverty line threshold
bpl survey no 4312678984
8pl card holder carlos rodrigues",BPL Certificate
"saldo de salário 6808.38
data do aviso prévio 26/12/2018
termo de rescisão do contrato de trabalho",Termo de Rescisão
"this  card belongs to anita desai
soci@l security number 609460
social 5ecurity card issued
social security administration",Social Security Number
hospital discharge summary with diagnosis and treating doctor name,Medical Records
rental agreement or bill confirming where someone lives,Proof of Residency
"saldo de salári0 1689.54
data do aviso prévio 06/04/1989
trct",Termo de Rescisão
"secretaria de segurança pública
registro geral
carteira de identidade",RG (ID)
"gross  pay 4928.42
net payable 7131.90
pay period 27/03/1985
basic salary hra deductions
employce name james carter
sa1ary slip for thc month of june",Income Proof
"national health card used to access public hcalthcare services in brazil 
",Cartão Nacional de Saúde
"carteira de identid@de
filiação carlos rodrigues
rg número 079454790142
registro geral
secretaria de segurança pública",RG (ID)
"ministério da saúde
sistema único de saúde sus
nome d0 usuári0 carlos rodrigues
cartão nacional de saúde",Cartão Nacional de Saúde
"propcrty  address 78 andheri east mumbai
utility bill service address 300 lakeview ave chicag0
residency verification letter 
",Proof of Residency
"summary of a person's past jobs and employment dates
work history verification letter 
",Work History
"social security card issued
social security administration
social security number 867806
this card belongs to priya nair",Social Security Number
"issued  by district hospital
percentage of disability 67%
certificate of disability",Disability Certificate
"attending  physician anita desai
date of visit 19/03/2000
patient medical record
treatment summary discharge notes
diagnosis 12 main st springfield",Medical Records
rental  contract specifying monthly rent and lease term,Lease Agreement
"driving license number 439102263047
photo identification document
valid until 08/10/1960",Government ID
"age proof issued by 45 mg road bengaluru municipality
datc of birth as per school records 23/10/1987
schoo1 leaving certificate
ccrtificate of age",Age Proof
rental  contract specifying monthly rent @nd lease term,Lease Agreement
"d@te  of visit 12/03/1971
diagnosis rua das flores 88 sao p@ulo
attending physician fernanda lima
patient medical record",Medical Records
"rental  contract specifying monthly rent and lease term
residential lease agreement",Lease Agreement
"document  used to confirm how old a person is
d@te of birth as pcr school records 17/10/2020 
",Age Proof
printed record of account balance issued by a financial institution,Bank Statement
"receita  federal do brasil
n0me complet0 sarah johns0n
cpf número 064663413291
cadastro de pessoas físicas
data de nascimento 14/04/1976",CPF
"form w-2 wage and tax statemcnt
year to date gr0ss 7936.36
pay stub earnings 5tatement",Proof of Income
"salary slip for the month of fevereiro
nct payable 7956.69
gross pay 1357.59
basic salary hra deductions",Income Proof
"pay period 06/11/1965
employee name vikram rao
salary slip for the month 0f july
basic 5alary hra deductions
gross pay 4337.79
nct payable 7117.42 
",Income Proof
"family members 40
ration card no 944037378503
c@rd type: above poverty line
state food civil supplies department
categ0ry bpl/apl 
",Ration Card
"r@tion card no 23833992
category bpl/apl
state food civil supp1ies dep@rtment
family members 3
public distribution system",Ration Card
"date of visit 05/11/2024
patient medical record
attending physician maria souza",Medical Records
"renda  familiar 389.54
cadastro único para programas 50ciais
número de identificação 5ocial nis 1224921526
númer0 do cadúnic0 668204",CadÚnico Registration
"schoo1 record or ccrtificate showing date of birth for age verification
school leaving certificate",Age Proof
"gross pay 4177.45
net payable 1459.20
salary slip for the month of march",Income Proof
official photo identification issued by a government agency,Government ID
"bpl card holder john 5ilva
below poverty line certificate
f@mily income below poverty linc threshold
bpl survey n0 779697
issued by gr@m panchayat 0ffice",BPL Certificate
"issued by district hospit@l
medica1 board assessment
udid number 390227122233",Disability Certificate
"passport  no 31267254
va1id until 23/08/1991
driving license number 04435926
identification card issued by department of motor vehicles
photo identification document",Government ID
"pay stub earnings statement
form w-2 wage and tax statement
year to date gross 4642.16
employer identification number 805972
federal income tax withheld 3540.49
wages tips other compensation 9699.61",Proof of Income
government issued person@l identific@tion number for benefits and tax purposes,Social Security Number
"transaction  history sh0wing account activity over a period
branch name 78 andheri east mumbai",Bank Statement
"family  members 65
fair price shop
state food civil supplics dep@rtment
card type: above poverty line
public distribution system
category bpl/apl",Ration Card
card  showing an individu@l's social security number,Social Security Number
document used t0 confirm how old a person is,Age Proof
"renda  famili@r 7628.10
cadastro único para programas sociais
número do cadúnic0 1557571405
númer0 de identificação s0cial nis 5182021092",CadÚnico Registration
"fatura  referente ao mês july
conta de luz endcreç0 12 main st springfield
comp@nhia de energia elétrica
comprovante de residência",Comprovante de Residência
"cid f95f68
percentual de incapacidade 65%
laudo médic0
médico responsávcl fernanda lima
avaliação de deficiência 
",Medical/Disability Report
"pr0of  of residence
utility connection valid f0r 45 mg road bengaluru
rcsidential ccrtificate issued to vikram rao
billing address 300 lakeview ave chicago
consumer number 311877
electricity bill",Address Proof
official record of when and whcre a person was born,Birth Certificate
"age  proof issued by 45 mg road bengaluru municipality
date of birth as per school records 12/01/2015
certificate of age",Age Proof
"document used to prove current home address for an application
utility bill service address 78 andheri east mumbai",Proof of Residency
"this  card shows my sus number for the brazilian public health system
sistema único de saúde sus",Cartão Nacional de Saúde
"document used to confirm how old a person is
school leaving certificate",Age Proof
"contrato de trabalho
carteira de trabalho e previdência s0cial
ctps número 5852830945 5érie 5852830945",Carteira de Trabalho
"employer fernand@ lima position 12 main st springfie1d
employment hist0ry summary
dates of empl0yment 07/11/1962 to 07/11/1962
w0rk history vcrification letter",Work History
"gross pay 231.46
basic 5@lary hra deductions
pay period 24/04/1967
s@1ary slip for the month of january",Income Proof
"nome completo anita desai
data de nascimento 17/11/1975
cadastr0 de pessoas físicas
cpf númcro 101043172523
receita federal do brasil",CPF
"document confirming a person's current residcntial address 
",Address Proof
"receita federal do brasil
data de nascimento 24/05/1992
cpf número 1376749143
cadastro dc pessoas físicas
nome completo rohan mchta",CPF
"renda familiar 1707.48
número do cadúnico 4441642540
cadastro único par@ programas sociais
número de identificação social nis 05644273",CadÚnico Registration
"comprovante de residência
companhia de energia e1étrica
fatura refercnte ao mês janeiro
conta de luz endereço 12 main st springfield",Comprovante de Residência
"proof of residence
e1ectricity bill
residential certificate issued to carl0s rodrigues
consumer number 36589539
uti1ity connection valid for 300 lakeview avc chicago",Address Proof
"date  0f birth as per school records 21/06/2011
age proof issued by 221b baker street municipality
school leaving certific@te
certificate of age",Age Proof
"national  identity document used for kyc verification in india 
",Aadhaar Card
"valid for one ycar from date of issue
issued by tehsildar office
this is to certify that mr/mrs anita desai
income certificate n0 978097541780",Income Certificate
"billing  address 221b baker street
residential certific@te issued to priya nair
proof of residencc
consumcr number 7390254212
electricity bill
uti1ity connection valid for 12 main st springfield",Address Proof
"issued  by gram panchayat office
below poverty line certificate
family income below poverty line threshold
bpl survey no 727005",BPL Certificate
"title deed of ownership
sa1e deed
property situated at 45 mg road bengaluru
this indenture made between",Property Documents
"medical  certification stating the type and percentage of disability
disability type: locomotor/visual/hearing",Disability Certificate
document showing monthly take-home pay and deductions from an employer,Income Proof
"category  bpl/apl
state food civil supplies department
ration card no 972170
public distribution system
fair price 5hop",Ration Card
"brazilian utility bill used as proof of address
fatura referente ao mês february",Comprovante de Residência
"comprovante  de residência
fatura rcferente ao mês j@nuary
c0mpanhia de energia elétrica
cont@ de luz endereço 78 andheri east mumbai",Comprovante de Residência
"registrati0n  no 099459471436
certificate of birth
place of birth 12 main st springfield
sex male/fem@le
this is to certify that sarah johnson was born on 18/09/1979",Birth Certificate
"single registry number used to apply for brazilian social benefits
número de identificação social nis 324043 
",CadÚnico Registration
"monthly rent 6096.50
pr0perty address 78 andheri east mumbai
utility bill 5ervice address 78 andheri east mumbai
residency verification lctter 
",Proof of Residency
"federal  income tax withheld 4761.21
form w-2 wage and tax statement
employcr identification number 755929
pay stub earnings statement
year to d@te gross 2361.23",Proof of Income
"this card shows my sus number for the brazilian public health system
cartão nacional de saúde",Cartão Nacional de Saúde
"renda famili@r 8476.02
cadastr0 único p@ra programas s0ciais
número do c@dúnico 843008793387
número de identificação social nis 468597884241",CadÚnico Registration
"income certific@te n0 132842
has an annual income of rs 6309.50
this is to certify that mr/mrs carlos rodrigues
valid for onc year from date of issue
ccrtificate of annual income 
",Income Certificate
"lease agreement between landl0rd and tenant
residency verific@tion letter
utility bil1 service address 12 main st springfield
property address 45 mg road bengaluru
monthly rent 5575.74",Proof of Residency
"issued  by tehsildar office
certificate of annual income
has an annual income of rs 145.94
valid for one year from date of issue
inc0me certificate n0 2122401777
this is to certify that mr/mrs anita desai",Income Certificate
"employce id 57029927
fedcral t@x state tax net pay 2391.90
gross earnings 6268.76
earnings statement
pay period ending 24/05/1981",Last Pay Stubs
"date of visit 09/09/2019
diagnosis 78 andheri e@st mumbai
attending physician m@ria souza
treatment summary discharge notes",Medical Records
"medic@l certification stating the type and percentage of disability
percentage of disability 42% 
",Disability Certificate
"tax  form showing wages and taxes withheld for the year
fedcral income tax withheld 2452.61",Proof of Income
"data  de nascimento 21/08/1997
cpf número 430733
receita federal do brasil
cadastro de pessoas físicas
nome completo jamcs carter",CPF
"aadhaar  no 0442089525
uidai मेरा आधार मेरी पहचान
dob 17/07/2010
addrcss: 45 mg road bengaluru
gender male",Aadhaar Card
document listing all family members cligible for subsidized rations,Ration Card
"summary  of a person's past jobs and cmployment dates
d@tes of employment 04/12/1969 to 04/12/1969",Work History
"secrctaria de segurança pública
rg número 44965382
registr0 geral
cartcira de identid@de
filiação sarah johnson",RG (ID)
"certific@tc of age
date of birth as per school records 04/09/2003
school leaving certificate
agc proof issued by 45 mg road bengaluru municipality",Age Proof
"número  do cadúnico 997390
renda f@miliar 9344.37
número de identificação social nis 163419173761
cadastro único para programas sociais",CadÚnico Registration
"c0mpanhia  de energia elétrica
comprovantc de residência
conta de luz endereço rua das flores 88 sa0 paulo
fatura referente ao mês june",Comprovante de Residência
document used to prove current home address for an application,Proof of Residency
"fatura  referentc a0 mês fevereiro
companhia de energi@ elétrica
conta de luz endereç0 300 lakeview ave chicago
comprovantc de residência",Comprovante de Residência
"emp1oyec id 600503
e@rnings statement
gross earnings 3533.42
p@y period ending 21/04/1977
federal tax 5tate tax net pay 6488.78",Last Pay Stubs
"this  is to certify that mr/mrs sarah johnson
issued by tehsildar office
certificate of annual income
income certificate no 7488293443 
",Income Certificate
"basic  sal@ry hra deductions
net payable 7623.09
pay peri0d 22/07/1984
employee name carlos rodrigues",Income Proof
school record or certificate showing date of birth for age verification,Age Proof
electricity or water bill showing @ resident's address in brazil,Comprovante de Residência
"proof of residence
consumer number 7440930677
residential certificate issued to rohan mehta
billing address 300 lakeview ave chicago
utility connecti0n v@lid for rua das flores 88 sao paulo
elcctricity bill 
",Address Proof
lctter verifying previous employment and job titles,Work History
"clinical  notes from a doctor's visit or hospital stay
attending physician rohan mehta",Medical Records
"termo dc rescisão do contrato de trabalho
saldo de sa1ário 3330.53
trct",Termo de Rescisão
"filiação carlos rodrigues
sccrctaria de segurança pública
registro geral 
",RG (ID)
"companhia de energia elétric@
fatura referentc @o mês marco
conta de luz endereço 78 andheri east mumbai
compr0vante de residência",Comprovante de Residência
"brazilian work booklet recording employment history and contracts 
",Carteira de Trabalho
"social security administration
this card belongs to carlos rodrigues
social security number 60427667
social security card issued",Social Security Number
"secretaria de segurança pública
registro geral
carteira de identidade 
",RG (ID)
"pay stub earnings statement
employer identific@tion number 6148200685
wages tips other compensation 6511.93
year to date gross 4515.62",Proof of Income
"doctor's  evaluation used to certify a disability in brazil
avaliação de deficiência",Medical/Disability Report
"legal papcrwork proving who owns a piece of land or @ housc
survey number 119355034934 plot area 
",Property Documents
"nome completo fernanda lima
rcceita federal do brasil
cpf númcro 673416077550
data dc nascimento 26/12/1973
cadastro dc pessoas físicas",CPF
"official severance paperwork issued when a job ends in brazil
termo de rescisão do contrato de trabalho",Termo de Rescisão
document c0nfirming a person's current rcsidentia1 address,Address Proof
nati0nal health card used to access public hea1thcare scrvices in brazil,Cartão Nacional de Saúde
"brazilian taxpayer registration number issued by receita federal
cadastro de pessoas físic@s",CPF
"individual  t@x id document used for financial transactions in brazil
cpf número 7842599774",CPF
"tre@tment  summary discharge notes
diagnosis 221b baker street
date of visit 11/11/2000
attending physician maria souza
paticnt medical record 
",Medical Records
"government of india unique identification authority of india
uidai मेरा आधार मेरी पहचान
aadhaar no 321784
gender male",Aadhaar Card
"government  document confirming date and placc of birth
sex male/fcmale",Birth Certificate
"official  brazilian id card issued by public security department 
",RG (ID)
"percentua1 de incapacidade 37%
cid e4a77i
avaliação de dcficiência",Medical/Disability Report
"monthly summary of deposits withdrawals and balance fr0m a bank account
8ranch name 300 lakeview ave chicago",Bank Statement
"12 digit id card with photo and fingerprint biometric record
government of india unique identification authority of india",Aadhaar Card
