region,office_id,office_type,date,day_of_week,hour,is_holiday,weather,seasonal_factor,num_visitors,actual_wait_time_minutes,crowd_level
IN,in_office_1,healthcare,2025-01-06,0,10,0,storm,1.15,44,44,moderate
IN,in_office_1,healthcare,2025-01-06,0,11,0,rain,1.15,67,54,high
IN,in_office_1,healthcare,2025-01-06,0,12,0,storm,1.15,32,22,moderate
IN,in_office_1,healthcare,2025-01-06,0,13,0,normal,1.15,71,58,high
IN,in_office_1,healthcare,2025-01-06,0,14,0,storm,1.15,44,42,moderate
IN,in_office_1,healthcare,2025-01-06,0,15,0,clear,1.15,76,68,high
IN,in_office_1,healthcare,2025-01-06,0,16,0,rain,1.15,41,38,moderate
IN,in_office_1,healthcare,2025-01-07,1,9,0,rain,1.15,43,43,moderate
IN,in_office_1,healthcare,2025-01-07,1,10,0,clear,1.15,85,76,high
IN,in_office_1,healthcare,2025-01-07,1,11,0,clear,1.15,90,78,high
IN,in_office_1,healthcare,2025-01-07,1,12,0,clear,1.15,69,57,high
IN,in_office_1,healthcare,2025-01-07,1,13,0,rain,1.15,43,29,moderate
IN,in_office_1,healthcare,2025-01-07,1,14,0,storm,1.15,47,44,high
IN,in_office_1,healthcare,2025-01-07,1,15,0,normal,1.15,88,78,high
IN,in_office_1,healthcare,2025-01-07,1,16,0,normal,1.15,43,41,moderate
IN,in_office_1,healthcare,2025-01-08,2,9,0,extreme_heat,1.15,35,25,moderate
IN,in_office_1,healthcare,2025-01-08,2,10,0,rain,1.15,65,58,high
IN,in_office_1,healthcare,2025-01-08,2,11,0,storm,1.15,43,44,moderate
IN,in_office_1,healthcare,2025-01-08,2,12,0,clear,1.15,63,52,high
IN,in_office_1,healthcare,2025-01-08,2,13,0,clear,1.15,61,51,high
IN,in_office_1,healthcare,2025-01-08,2,14,0,extreme_heat,1.15,70,60,high
IN,in_office_1,healthcare,2025-01-08,2,15,0,rain,1.15,59,51,high
IN,in_office_1,healthcare,2025-01-08,2,16,0,extreme_heat,1.15,30,21,moderate
IN,in_office_1,healthcare,2025-01-09,3,9,0,rain,1.15,41,28,moderate
IN,in_office_1,healthcare,2025-01-09,3,10,0,rain,1.15,72,70,high
IN,in_office_1,healthcare,2025-01-09,3,11,0,clear,1.15,92,82,high
IN,in_office_1,healthcare,2025-01-09,3,12,0,normal,1.15,62,63,high
IN,in_office_1,healthcare,2025-01-09,3,13,0,extreme_heat,1.15,37,37,moderate
IN,in_office_1,healthcare,2025-01-09,3,14,0,extreme_heat,1.15,71,62,high
IN,in_office_1,healthcare,2025-01-09,3,15,0,rain,1.15,75,70,high
IN,in_office_1,healthcare,2025-01-09,3,16,0,extreme_heat,1.15,37,40,moderate
IN,in_office_1,healthcare,2025-01-10,4,9,0,storm,1.15,30,22,moderate
IN,in_office_1,healthcare,2025-01-10,4,10,0,extreme_heat,1.15,66,57,high
IN,in_office_1,healthcare,2025-01-10,4,11,0,clear,1.15,91,77,high
IN,in_office_1,healthcare,2025-01-10,4,12,0,rain,1.15,50,45,high
IN,in_office_1,healthcare,2025-01-10,4,13,0,extreme_heat,1.15,63,62,high
IN,in_office_1,healthcare,2025-01-10,4,14,0,normal,1.15,72,66,high
IN,in_office_1,healthcare,2025-01-10,4,15,0,clear,1.15,81,69,high
IN,in_office_1,healthcare,2025-01-10,4,16,0,rain,1.15,45,41,high
IN,in_office_1,healthcare,2025-01-11,5,9,0,normal,1.15,23,18,moderate
IN,in_office_1,healthcare,2025-01-11,5,10,0,storm,1.15,33,28,moderate
IN,in_office_1,healthcare,2025-01-11,5,11,0,extreme_heat,1.15,37,38,moderate
IN,in_office_1,healthcare,2025-01-11,5,12,0,clear,1.15,47,43,high
IN,in_office_1,healthcare,2025-01-11,5,13,0,clear,1.15,17,13,low
IN,in_office_1,healthcare,2025-01-11,5,14,0,normal,1.15,45,40,high
IN,in_office_1,healthcare,2025-01-11,5,15,0,rain,1.15,39,35,moderate
IN,in_office_1,healthcare,2025-01-11,5,16,0,storm,1.15,13,18,low
IN,in_office_1,healthcare,2025-01-12,6,9,0,extreme_heat,1.15,6,2,low
IN,in_office_1,healthcare,2025-01-12,6,10,0,clear,1.15,45,37,high
IN,in_office_1,healthcare,2025-01-12,6,11,0,normal,1.15,35,23,moderate
IN,in_office_1,healthcare,2025-01-12,6,12,0,storm,1.15,7,11,low
IN,in_office_1,healthcare,2025-01-12,6,13,0,storm,1.15,21,21,moderate
IN,in_office_1,healthcare,2025-01-12,6,14,0,storm,1.15,31,28,moderate
IN,in_office_1,healthcare,2025-01-12,6,15,0,rain,1.15,26,17,moderate
IN,in_office_1,healthcare,2025-01-12,6,16,0,rain,1.15,22,24,moderate
IN,in_office_1,healthcare,2025-01-13,0,9,0,clear,1.15,39,33,moderate
IN,in_office_1,healthcare,2025-01-13,0,10,0,storm,1.15,42,36,moderate
IN,in_office_1,healthcare,2025-01-13,0,11,0,clear,1.15,83,73,high
IN,in_office_1,healthcare,2025-01-13,0,12,0,rain,1.15,52,55,high
IN,in_office_1,healthcare,2025-01-13,0,13,0,storm,1.15,36,32,moderate
IN,in_office_1,healthcare,2025-01-13,0,14,0,clear,1.15,74,69,high
IN,in_office_1,healthcare,2025-01-13,0,15,0,storm,1.15,46,39,high
IN,in_office_1,healthcare,2025-01-13,0,16,0,extreme_heat,1.15,28,27,moderate
IN,in_office_1,healthcare,2025-01-14,1,9,0,normal,1.15,39,34,moderate
IN,in_office_1,healthcare,2025-01-14,1,10,0,storm,1.15,59,44,high
IN,in_office_1,healthcare,2025-01-14,1,11,0,extreme_heat,1.15,76,63,high
IN,in_office_1,healthcare,2025-01-14,1,12,0,rain,1.15,55,47,high
IN,in_office_1,healthcare,2025-01-14,1,13,0,clear,1.15,59,55,high
IN,in_office_1,healthcare,2025-01-14,1,14,0,rain,1.15,66,60,high
IN,in_office_1,healthcare,2025-01-14,1,15,0,extreme_heat,1.15,68,50,high
IN,in_office_1,healthcare,2025-01-14,1,16,0,rain,1.15,45,37,high
IN,in_office_1,healthcare,2025-01-15,2,9,0,extreme_heat,1.15,43,46,moderate
IN,in_office_1,healthcare,2025-01-15,2,10,0,normal,1.15,85,88,high
IN,in_office_1,healthcare,2025-01-15,2,11,0,normal,1.15,84,73,high
IN,in_office_1,healthcare,2025-01-15,2,12,0,rain,1.15,57,55,high
IN,in_office_1,healthcare,2025-01-15,2,13,0,storm,1.15,32,31,moderate
IN,in_office_1,healthcare,2025-01-15,2,14,0,extreme_heat,1.15,61,62,high
IN,in_office_1,healthcare,2025-01-15,2,15,0,clear,1.15,78,74,high
IN,in_office_1,healthcare,2025-01-15,2,16,0,clear,1.15,38,38,moderate
IN,in_office_1,healthcare,2025-01-16,3,9,0,extreme_heat,1.15,33,29,moderate
IN,in_office_1,healthcare,2025-01-16,3,10,0,rain,1.15,72,64,high
IN,in_office_1,healthcare,2025-01-16,3,11,0,extreme_heat,1.15,63,67,high
IN,in_office_1,healthcare,2025-01-16,3,12,0,rain,1.15,53,50,high
IN,in_office_1,healthcare,2025-01-16,3,13,0,normal,1.15,68,55,high
IN,in_office_1,healthcare,2025-01-16,3,14,0,extreme_heat,1.15,59,56,high
IN,in_office_1,healthcare,2025-01-16,3,15,0,storm,1.15,40,32,moderate
IN,in_office_1,healthcare,2025-01-16,3,16,0,clear,1.15,42,46,moderate
IN,in_office_1,healthcare,2025-01-17,4,9,0,rain,1.15,35,32,moderate
IN,in_office_1,healthcare,2025-01-17,4,10,0,clear,1.15,75,60,high
IN,in_office_1,healthcare,2025-01-17,4,11,0,clear,1.15,78,67,high
IN,in_office_1,healthcare,2025-01-17,4,12,0,extreme_heat,1.15,54,44,high
IN,in_office_1,healthcare,2025-01-17,4,13,0,extreme_heat,1.15,56,50,high
IN,in_office_1,healthcare,2025-01-17,4,14,0,extreme_heat,1.15,64,56,high
IN,in_office_1,healthcare,2025-01-17,4,15,0,rain,1.15,84,70,high
IN,in_office_1,healthcare,2025-01-17,4,16,0,extreme_heat,1.15,39,36,moderate
IN,in_office_1,healthcare,2025-01-18,5,9,0,extreme_heat,1.15,12,6,low
IN,in_office_1,healthcare,2025-01-18,5,10,0,rain,1.15,33,35,moderate
IN,in_office_1,healthcare,2025-01-18,5,11,0,rain,1.15,33,38,moderate
IN,in_office_1,healthcare,2025-01-18,5,12,0,extreme_heat,1.15,26,23,moderate
IN,in_office_1,healthcare,2025-01-18,5,13,0,storm,1.15,15,12,low
IN,in_office_1,healthcare,2025-01-18,5,14,0,normal,1.15,41,42,moderate
IN,in_office_1,healthcare,2025-01-18,5,15,0,normal,1.15,36,27,moderate
IN,in_office_1,healthcare,2025-01-18,5,16,0,normal,1.15,27,23,moderate
IN,in_office_1,healthcare,2025-01-19,6,9,0,rain,1.15,24,21,moderate
IN,in_office_1,healthcare,2025-01-19,6,10,0,rain,1.15,30,29,moderate
IN,in_office_1,healthcare,2025-01-19,6,11,0,clear,1.15,41,36,moderate
IN,in_office_1,healthcare,2025-01-19,6,12,0,extreme_heat,1.15,23,21,moderate
IN,in_office_1,healthcare,2025-01-19,6,13,0,normal,1.15,37,27,moderate
IN,in_office_1,healthcare,2025-01-19,6,14,0,extreme_heat,1.15,25,18,moderate
IN,in_office_1,healthcare,2025-01-19,6,15,0,clear,1.15,37,34,moderate
IN,in_office_1,healthcare,2025-01-19,6,16,0,normal,1.15,27,24,moderate
IN,in_office_1,healthcare,2025-01-20,0,9,0,extreme_heat,1.15,42,36,moderate
IN,in_office_1,healthcare,2025-01-20,0,10,0,rain,1.15,82,76,high
IN,in_office_1,healthcare,2025-01-20,0,11,0,rain,1.15,69,62,high
IN,in_office_1,healthcare,2025-01-20,0,12,0,normal,1.15,67,62,high
IN,in_office_1,healthcare,2025-01-20,0,13,0,rain,1.15,53,56,high
IN,in_office_1,healthcare,2025-01-20,0,14,0,clear,1.15,81,75,high
IN,in_office_1,healthcare,2025-01-20,0,15,0,normal,1.15,77,66,high
IN,in_office_1,healthcare,2025-01-20,0,16,0,extreme_heat,1.15,33,33,moderate
IN,in_office_1,healthcare,2025-01-21,1,9,0,storm,1.15,37,30,moderate
IN,in_office_1,healthcare,2025-01-21,1,10,0,rain,1.15,64,50,high
IN,in_office_1,healthcare,2025-01-21,1,11,0,storm,1.15,45,43,high
IN,in_office_1,healthcare,2025-01-21,1,12,0,normal,1.15,68,67,high
IN,in_office_1,healthcare,2025-01-21,1,13,0,rain,1.15,64,60,high
IN,in_office_1,healthcare,2025-01-21,1,14,0,storm,1.15,42,31,moderate
IN,in_office_1,healthcare,2025-01-21,1,15,0,storm,1.15,54,53,high
IN,in_office_1,healthcare,2025-01-21,1,16,0,storm,1.15,16,10,low
IN,in_office_1,healthcare,2025-01-22,2,9,0,clear,1.15,47,36,high
IN,in_office_1,healthcare,2025-01-22,2,10,0,rain,1.15,71,64,high
IN,in_office_1,healthcare,2025-01-22,2,11,0,extreme_heat,1.15,71,62,high
IN,in_office_1,healthcare,2025-01-22,2,12,0,normal,1.15,55,46,high
IN,in_office_1,healthcare,2025-01-22,2,13,0,storm,1.15,35,26,moderate
IN,in_office_1,healthcare,2025-01-22,2,14,0,clear,1.15,80,72,high
IN,in_office_1,healthcare,2025-01-22,2,15,0,storm,1.15,51,44,high
IN,in_office_1,healthcare,2025-01-22,2,16,0,storm,1.15,35,34,moderate
IN,in_office_1,healthcare,2025-01-23,3,9,0,extreme_heat,1.15,39,26,moderate
IN,in_office_1,healthcare,2025-01-23,3,10,0,rain,1.15,69,58,high
IN,in_office_1,healthcare,2025-01-23,3,11,0,normal,1.15,76,68,high
IN,in_office_1,healthcare,2025-01-23,3,12,0,normal,1.15,67,58,high
IN,in_office_1,healthcare,2025-01-23,3,13,0,clear,1.15,56,45,high
IN,in_office_1,healthcare,2025-01-23,3,14,0,clear,1.15,77,66,high
IN,in_office_1,healthcare,2025-01-23,3,15,0,extreme_heat,1.15,63,54,high
IN,in_office_1,healthcare,2025-01-23,3,16,0,normal,1.15,48,44,high
IN,in_office_1,healthcare,2025-01-24,4,9,0,clear,1.15,41,29,moderate
IN,in_office_1,healthcare,2025-01-24,4,10,0,extreme_heat,1.15,64,53,high
IN,in_office_1,healthcare,2025-01-24,4,11,0,normal,1.15,79,71,high
IN,in_office_1,healthcare,2025-01-24,4,12,0,storm,1.15,43,51,moderate
IN,in_office_1,healthcare,2025-01-24,4,13,0,normal,1.15,69,62,high
IN,in_office_1,healthcare,2025-01-24,4,14,0,storm,1.15,55,48,high
IN,in_office_1,healthcare,2025-01-24,4,15,0,extreme_heat,1.15,55,56,high
IN,in_office_1,healthcare,2025-01-24,4,16,0,rain,1.15,39,36,moderate
IN,in_office_1,healthcare,2025-01-25,5,9,0,storm,1.15,12,15,low
IN,in_office_1,healthcare,2025-01-25,5,10,0,storm,1.15,27,18,moderate
IN,in_office_1,healthcare,2025-01-25,5,11,0,clear,1.15,39,31,moderate
IN,in_office_1,healthcare,2025-01-25,5,12,0,normal,1.15,28,27,moderate
IN,in_office_1,healthcare,2025-01-25,5,13,0,normal,1.15,29,21,moderate
IN,in_office_1,healthcare,2025-01-25,5,14,0,rain,1.15,29,28,moderate
IN,in_office_1,healthcare,2025-01-25,5,15,0,clear,1.15,41,36,moderate
IN,in_office_1,healthcare,2025-01-25,5,16,0,extreme_heat,1.15,19,14,low
IN,in_office_1,healthcare,2025-01-26,6,9,1,rain,1.15,27,13,moderate
IN,in_office_1,healthcare,2025-01-26,6,10,1,extreme_heat,1.15,52,48,high
IN,in_office_1,healthcare,2025-01-26,6,11,1,normal,1.15,73,65,high
IN,in_office_1,healthcare,2025-01-26,6,12,1,extreme_heat,1.15,49,40,high
IN,in_office_1,healthcare,2025-01-26,6,13,1,clear,1.15,50,46,high
IN,in_office_1,healthcare,2025-01-26,6,14,1,extreme_heat,1.15,50,42,high
IN,in_office_1,healthcare,2025-01-26,6,15,1,extreme_heat,1.15,47,43,high
IN,in_office_1,healthcare,2025-01-26,6,16,1,extreme_heat,1.15,29,20,moderate
IN,in_office_1,healthcare,2025-01-27,0,9,0,clear,1.15,47,35,high
IN,in_office_1,healthcare,2025-01-27,0,10,0,storm,1.15,40,33,moderate
IN,in_office_1,healthcare,2025-01-27,0,11,0,clear,1.15,87,76,high
IN,in_office_1,healthcare,2025-01-27,0,12,0,storm,1.15,38,27,moderate
IN,in_office_1,healthcare,2025-01-27,0,13,0,extreme_heat,1.15,37,34,moderate
IN,in_office_1,healthcare,2025-01-27,0,14,0,storm,1.15,54,52,high
IN,in_office_1,healthcare,2025-01-27,0,15,0,extreme_heat,1.15,64,61,high
IN,in_office_1,healthcare,2025-01-27,0,16,0,extreme_heat,1.15,31,29,moderate
IN,in_office_1,healthcare,2025-01-28,1,9,0,normal,1.15,38,32,moderate
IN,in_office_1,healthcare,2025-01-28,1,10,0,rain,1.15,68,59,high
IN,in_office_1,healthcare,2025-01-28,1,11,0,storm,1.15,55,46,high
IN,in_office_1,healthcare,2025-01-28,1,12,0,rain,1.15,48,44,high
IN,in_office_1,healthcare,2025-01-28,1,13,0,normal,1.15,56,53,high
IN,in_office_1,healthcare,2025-01-28,1,14,0,rain,1.15,74,69,high
IN,in_office_1,healthcare,2025-01-28,1,15,0,clear,1.15,79,75,high
IN,in_office_1,healthcare,2025-01-28,1,16,0,storm,1.15,26,24,moderate
IN,in_office_1,healthcare,2025-01-29,2,9,0,normal,1.15,36,37,moderate
IN,in_office_1,healthcare,2025-01-29,2,10,0,rain,1.15,65,61,high
IN,in_office_1,healthcare,2025-01-29,2,11,0,clear,1.15,74,66,high
IN,in_office_1,healthcare,2025-01-29,2,12,0,extreme_heat,1.15,55,53,high
IN,in_office_1,healthcare,2025-01-29,2,13,0,rain,1.15,64,63,high
IN,in_office_1,healthcare,2025-01-29,2,14,0,normal,1.15,76,71,high
IN,in_office_1,healthcare,2025-01-29,2,15,0,extreme_heat,1.15,72,56,high
IN,in_office_1,healthcare,2025-01-29,2,16,0,clear,1.15,48,46,high
IN,in_office_1,healthcare,2025-01-30,3,9,0,normal,1.15,51,44,high
IN,in_office_1,healthcare,2025-01-30,3,10,0,clear,1.15,71,71,high
IN,in_office_1,healthcare,2025-01-30,3,11,0,storm,1.15,59,42,high
IN,in_office_1,healthcare,2025-01-30,3,12,0,rain,1.15,54,45,high
IN,in_office_1,healthcare,2025-01-30,3,13,0,rain,1.15,44,38,moderate
IN,in_office_1,healthcare,2025-01-30,3,14,0,normal,1.15,91,86,high
IN,in_office_1,healthcare,2025-01-30,3,15,0,clear,1.15,83,71,high
IN,in_office_1,healthcare,2025-01-30,3,16,0,clear,1.15,41,33,moderate
IN,in_office_1,healthcare,2025-01-31,4,9,0,rain,1.15,32,24,moderate
IN,in_office_1,healthcare,2025-01-31,4,10,0,normal,1.15,81,70,high
IN,in_office_1,healthcare,2025-01-31,4,11,0,clear,1.15,77,80,high
IN,in_office_1,healthcare,2025-01-31,4,12,0,rain,1.15,50,47,high
IN,in_office_1,healthcare,2025-01-31,4,13,0,storm,1.15,45,40,high
IN,in_office_1,healthcare,2025-01-31,4,14,0,normal,1.15,81,77,high
IN,in_office_1,healthcare,2025-01-31,4,15,0,rain,1.15,65,59,high
IN,in_office_1,healthcare,2025-01-31,4,16,0,rain,1.15,43,39,moderate
IN,in_office_1,healthcare,2025-02-01,5,9,0,extreme_heat,1.0,19,18,low
IN,in_office_1,healthcare,2025-02-01,5,10,0,normal,1.0,39,36,moderate
IN,in_office_1,healthcare,2025-02-01,5,11,0,normal,1.0,39,33,moderate
IN,in_office_1,healthcare,2025-02-01,5,12,0,clear,1.0,24,14,moderate
IN,in_office_1,healthcare,2025-02-01,5,13,0,extreme_heat,1.0,20,14,moderate
IN,in_office_1,healthcare,2025-02-01,5,14,0,extreme_heat,1.0,28,19,moderate
IN,in_office_1,healthcare,2025-02-01,5,15,0,rain,1.0,26,23,moderate
IN,in_office_1,healthcare,2025-02-01,5,16,0,rain,1.0,16,17,low
IN,in_office_1,healthcare,2025-02-02,6,9,0,extreme_heat,1.0,21,23,moderate
IN,in_office_1,healthcare,2025-02-02,6,10,0,storm,1.0,23,23,moderate
IN,in_office_1,healthcare,2025-02-02,6,11,0,normal,1.0,37,32,moderate
IN,in_office_1,healthcare,2025-02-02,6,12,0,storm,1.0,20,21,moderate
IN,in_office_1,healthcare,2025-02-02,6,13,0,rain,1.0,31,28,moderate
IN,in_office_1,healthcare,2025-02-02,6,14,0,normal,1.0,37,33,moderate
IN,in_office_1,healthcare,2025-02-02,6,15,0,normal,1.0,26,25,moderate
IN,in_office_1,healthcare,2025-02-02,6,16,0,extreme_heat,1.0,13,2,low
IN,in_office_1,healthcare,2025-02-03,0,9,0,rain,1.0,30,29,moderate
IN,in_office_1,healthcare,2025-02-03,0,10,0,storm,1.0,42,36,moderate
IN,in_office_1,healthcare,2025-02-03,0,11,0,normal,1.0,80,59,high
IN,in_office_1,healthcare,2025-02-03,0,12,0,normal,1.0,55,49,high
IN,in_office_1,healthcare,2025-02-03,0,13,0,extreme_heat,1.0,49,46,high
IN,in_office_1,healthcare,2025-02-03,0,14,0,clear,1.0,62,52,high
IN,in_office_1,healthcare,2025-02-03,0,15,0,normal,1.0,64,64,high
IN,in_office_1,healthcare,2025-02-03,0,16,0,normal,1.0,46,45,high
IN,in_office_1,healthcare,2025-02-04,1,9,0,rain,1.0,23,28,moderate
IN,in_office_1,healthcare,2025-02-04,1,10,0,rain,1.0,56,57,high
IN,in_office_1,healthcare,2025-02-04,1,11,0,normal,1.0,77,70,high
IN,in_office_1,healthcare,2025-02-04,1,12,0,normal,1.0,56,50,high
IN,in_office_1,healthcare,2025-02-04,1,13,0,clear,1.0,55,47,high
IN,in_office_1,healthcare,2025-02-04,1,14,0,rain,1.0,60,43,high
IN,in_office_1,healthcare,2025-02-04,1,15,0,extreme_heat,1.0,53,51,high
IN,in_office_1,healthcare,2025-02-04,1,16,0,storm,1.0,32,31,moderate
IN,in_office_1,healthcare,2025-02-05,2,9,0,extreme_heat,1.0,35,29,moderate
IN,in_office_1,healthcare,2025-02-05,2,10,0,storm,1.0,50,41,high
IN,in_office_1,healthcare,2025-02-05,2,11,0,clear,1.0,75,68,high
IN,in_office_1,healthcare,2025-02-05,2,12,0,normal,1.0,53,42,high
IN,in_office_1,healthcare,2025-02-05,2,13,0,normal,1.0,58,41,high
IN,in_office_1,healthcare,2025-02-05,2,14,0,normal,1.0,76,72,high
IN,in_office_1,healthcare,2025-02-05,2,15,0,clear,1.0,74,58,high
IN,in_office_1,healthcare,2025-02-05,2,16,0,rain,1.0,28,22,moderate
IN,in_office_1,healthcare,2025-02-06,3,9,0,extreme_heat,1.0,20,20,moderate
IN,in_office_1,healthcare,2025-02-06,3,10,0,storm,1.0,46,42,high
IN,in_office_1,healthcare,2025-02-06,3,11,0,rain,1.0,60,55,high
IN,in_office_1,healthcare,2025-02-06,3,12,0,clear,1.0,47,43,high
IN,in_office_1,healthcare,2025-02-06,3,13,0,rain,1.0,59,51,high
IN,in_office_1,healthcare,2025-02-06,3,14,0,clear,1.0,71,65,high
IN,in_office_1,healthcare,2025-02-06,3,15,0,clear,1.0,55,56,high
IN,in_office_1,healthcare,2025-02-06,3,16,0,normal,1.0,39,37,moderate
IN,in_office_1,healthcare,2025-02-07,4,9,0,normal,1.0,31,22,moderate
IN,in_office_1,healthcare,2025-02-07,4,10,0,storm,1.0,47,36,high
IN,in_office_1,healthcare,2025-02-07,4,11,0,clear,1.0,72,60,high
IN,in_office_1,healthcare,2025-02-07,4,12,0,extreme_heat,1.0,38,32,moderate
IN,in_office_1,healthcare,2025-02-07,4,13,0,extreme_heat,1.0,45,44,high
IN,in_office_1,healthcare,2025-02-07,4,14,0,rain,1.0,61,58,high
IN,in_office_1,healthcare,2025-02-07,4,15,0,storm,1.0,43,40,moderate
IN,in_office_1,healthcare,2025-02-07,4,16,0,extreme_heat,1.0,37,33,moderate
IN,in_office_1,healthcare,2025-02-08,5,9,0,rain,1.0,14,10,low
IN,in_office_1,healthcare,2025-02-08,5,10,0,normal,1.0,38,34,moderate
IN,in_office_1,healthcare,2025-02-08,5,11,0,normal,1.0,38,31,moderate
IN,in_office_1,healthcare,2025-02-08,5,12,0,normal,1.0,28,24,moderate
IN,in_office_1,healthcare,2025-02-08,5,13,0,extreme_heat,1.0,22,21,moderate
IN,in_office_1,healthcare,2025-02-08,5,14,0,storm,1.0,29,24,moderate
IN,in_office_1,healthcare,2025-02-08,5,15,0,clear,1.0,27,31,moderate
IN,in_office_1,healthcare,2025-02-08,5,16,0,normal,1.0,10,3,low
IN,in_office_1,healthcare,2025-02-09,6,9,0,clear,1.0,25,26,moderate
IN,in_office_1,healthcare,2025-02-09,6,10,0,storm,1.0,20,19,moderate
IN,in_office_1,healthcare,2025-02-09,6,11,0,extreme_heat,1.0,31,30,moderate
IN,in_office_1,healthcare,2025-02-09,6,12,0,extreme_heat,1.0,31,29,moderate
IN,in_office_1,healthcare,2025-02-09,6,13,0,rain,1.0,27,15,moderate
IN,in_office_1,healthcare,2025-02-09,6,14,0,normal,1.0,34,27,moderate
IN,in_office_1,healthcare,2025-02-09,6,15,0,extreme_heat,1.0,29,26,moderate
IN,in_office_1,healthcare,2025-02-09,6,16,0,normal,1.0,17,14,low
IN,in_office_1,healthcare,2025-02-10,0,9,0,clear,1.0,41,29,moderate
IN,in_office_1,healthcare,2025-02-10,0,10,0,rain,1.0,59,51,high
IN,in_office_1,healthcare,2025-02-10,0,11,0,rain,1.0,56,52,high
IN,in_office_1,healthcare,2025-02-10,0,12,0,extreme_heat,1.0,40,31,moderate
IN,in_office_1,healthcare,2025-02-10,0,13,0,clear,1.0,52,52,high
IN,in_office_1,healthcare,2025-02-10,0,14,0,extreme_heat,1.0,56,50,high
IN,in_office_1,healthcare,2025-02-10,0,15,0,extreme_heat,1.0,53,43,high
IN,in_office_1,healthcare,2025-02-10,0,16,0,normal,1.0,38,34,moderate
IN,in_office_1,healthcare,2025-02-11,1,9,0,rain,1.0,22,24,moderate
IN,in_office_1,healthcare,2025-02-11,1,10,0,normal,1.0,66,57,high
IN,in_office_1,healthcare,2025-02-11,1,11,0,rain,1.0,62,56,high
IN,in_office_1,healthcare,2025-02-11,1,12,0,rain,1.0,38,25,moderate
