benefit_id,region,category,income_ratio,age_centrality,family_margin,category_match,employment_match_any,region_density,priority_label
br_minha_casa,BR,housing_assistance,0.4295,0.1569,3,1,1,6,0.7085
br_sus,BR,healthcare_support,0.0,0.1667,2,1,1,6,0.7952
us_section8,US,housing_assistance,0.1886,0.2157,1,0,1,6,0.5146
br_bpc,BR,disability_support,0.0747,0.2333,1,0,1,6,0.5154
br_minha_casa,BR,housing_assistance,0.6051,0.2157,1,1,1,6,0.4764
in_nsap,IN,elderly_care,0.7695,0.3,0,0,1,6,0.1685
in_icds,IN,child_support,0.7571,0.0,0,0,1,6,0.1164
us_tanf,US,child_support,0.4225,0.0,2,1,1,6,0.629
br_minha_casa,BR,housing_assistance,0.7128,0.1569,0,0,1,6,0.2404
br_sus,BR,healthcare_support,0.0,0.5833,1,0,1,6,0.5641
in_pmjay,IN,healthcare_support,0.6815,0.65,3,0,1,6,0.4188
us_unemployment,US,unemployment,0.0,0.7059,3,1,0,6,0.961
br_idoso,BR,elderly_care,0.4791,0.7333,1,0,1,6,0.3658
in_pmjay,IN,healthcare_support,0.3305,0.65,3,0,1,6,0.5501
in_nfsa,IN,food_assistance,0.1939,0.1667,0,0,1,6,0.3818
br_bpc,BR,disability_support,0.4196,0.4833,3,0,1,6,0.5484
in_pmaay,IN,housing_assistance,0.6733,0.5686,0,1,1,6,0.4668
us_ssdi,US,disability_support,0.0,0.1569,2,1,1,6,0.8246
us_ssdi,US,disability_support,0.0,0.4314,0,0,1,6,0.4968
in_pmjay,IN,healthcare_support,0.1931,0.9333,2,0,1,6,0.5978
us_unemployment,US,unemployment,0.0,0.2549,0,0,0,6,0.5196
in_nfsa,IN,food_assistance,0.2208,0.6333,1,1,1,6,0.7613
in_nfsa,IN,food_assistance,0.5503,0.7167,0,1,1,6,0.538
in_nsap,IN,elderly_care,0.2752,0.4333,2,0,1,6,0.5583
us_snap,US,food_assistance,0.2766,0.6667,1,1,1,6,0.7164
in_disability_pension,IN,disability_support,0.2256,0.7843,0,0,1,6,0.4773
br_bolsa_familia,BR,child_support,0.5839,0.3333,3,0,1,6,0.3711
in_icds,IN,child_support,0.13,0.6667,3,0,1,6,0.6255
in_disability_pension,IN,disability_support,0.4015,0.3922,2,0,1,6,0.4356
br_auxilio_emergencial,BR,unemployment,0.0,0.4118,1,1,0,6,0.7526
br_bpc,BR,disability_support,0.4471,0.8333,1,1,1,6,0.6695
in_pmaay,IN,housing_assistance,0.4054,0.8627,1,0,1,6,0.4114
us_medicaid,US,healthcare_support,0.1327,0.5167,0,0,1,6,0.525
in_pmaay,IN,housing_assistance,0.1859,0.098,0,0,1,6,0.4725
in_pmaay,IN,housing_assistance,0.3793,0.7843,1,1,1,6,0.6597
br_sus,BR,healthcare_support,0.0,0.5667,0,0,1,6,0.5881
us_tanf,US,child_support,0.2049,0.2222,1,0,1,6,0.4368
us_unemployment,US,unemployment,0.0,0.902,1,0,0,6,0.6788
in_icds,IN,child_support,0.3323,0.3333,3,1,1,6,0.7133
us_section8,US,housing_assistance,0.3331,0.0196,1,0,1,6,0.3654
in_pmaay,IN,housing_assistance,0.3313,0.9412,3,1,1,6,0.8427
br_bolsa_familia,BR,child_support,0.7159,0.3333,2,0,1,6,0.2653
in_disability_pension,IN,disability_support,0.5575,0.8824,3,0,1,6,0.5125
in_nfsa,IN,food_assistance,0.5231,0.0,0,1,1,6,0.4594
in_pmjay,IN,healthcare_support,0.5171,0.9833,2,0,1,6,0.4707
in_nfsa,IN,food_assistance,0.1473,0.6333,3,1,1,6,0.8952
in_pmaay,IN,housing_assistance,0.2622,0.2549,1,1,1,6,0.6233
in_nfsa,IN,food_assistance,0.3344,0.1333,3,0,1,6,0.5602
br_idoso,BR,elderly_care,0.4879,0.2333,2,1,1,6,0.5689
us_unemployment,US,unemployment,0.0,0.8039,3,0,0,6,0.7129
us_medicaid,US,healthcare_support,0.6673,0.4167,3,0,1,6,0.3976
us_snap,US,food_assistance,0.7211,0.2167,1,0,1,6,0.2861
br_bolsa_familia,BR,child_support,0.2118,0.0,1,1,1,6,0.6719
us_unemployment,US,unemployment,0.0,0.3725,1,0,0,6,0.5985
in_disability_pension,IN,disability_support,0.6415,0.098,0,1,1,6,0.4121
br_sus,BR,healthcare_support,0.0,0.15,3,0,1,6,0.6458
br_sus,BR,healthcare_support,0.0,0.2,0,0,1,6,0.4924
in_nfsa,IN,food_assistance,0.3857,0.0833,1,1,1,6,0.6198
us_ssdi,US,disability_support,0.0,0.7843,0,0,1,6,0.5423
us_tanf,US,child_support,0.3249,1.0,1,1,1,6,0.6633
in_pmaay,IN,housing_assistance,0.2492,0.8431,1,1,1,6,0.7647
br_auxilio_emergencial,BR,unemployment,0.0,0.6471,1,0,0,6,0.6464
br_auxilio_emergencial,BR,unemployment,0.0,0.9216,0,0,0,6,0.5841
us_tanf,US,child_support,0.2625,0.5556,2,1,1,6,0.7008
in_pmaay,IN,housing_assistance,0.528,0.9608,1,1,1,6,0.6582
br_idoso,BR,elderly_care,0.3032,0.9333,2,0,1,6,0.5933
in_nfsa,IN,food_assistance,0.6759,0.7667,3,1,1,6,0.5834
in_pmaay,IN,housing_assistance,0.4005,0.1569,1,1,1,6,0.556
in_nfsa,IN,food_assistance,0.5109,0.2833,1,0,1,6,0.3829
br_bolsa_familia,BR,child_support,0.1706,0.2222,2,0,1,6,0.5507
br_idoso,BR,elderly_care,0.1679,0.6333,3,0,1,6,0.6379
br_minha_casa,BR,housing_assistance,0.6751,0.8824,0,0,1,6,0.3182
us_ssdi,US,disability_support,0.0,0.0,1,0,1,6,0.5895
in_nfsa,IN,food_assistance,0.3334,0.0333,0,0,1,6,0.339
in_nfsa,IN,food_assistance,0.2878,0.6833,1,1,1,6,0.6851
in_nfsa,IN,food_assistance,0.3895,0.6,0,0,1,6,0.4191
in_pmaay,IN,housing_assistance,0.3897,0.549,0,0,1,6,0.4203
br_auxilio_emergencial,BR,unemployment,0.0,0.1961,1,1,0,6,0.766
us_unemployment,US,unemployment,0.0,0.3725,2,0,0,6,0.5966
in_nsap,IN,elderly_care,0.6595,1.0,1,1,1,6,0.5586
in_icds,IN,child_support,0.3744,0.0,0,1,1,6,0.5573
in_nfsa,IN,food_assistance,0.4707,0.3667,3,0,1,6,0.4969
us_snap,US,food_assistance,0.6736,0.8833,0,0,1,6,0.236
us_snap,US,food_assistance,0.5834,0.35,2,1,1,6,0.5921
br_bpc,BR,disability_support,0.278,0.3,0,0,1,6,0.3808
us_section8,US,housing_assistance,0.6931,0.3529,1,1,1,6,0.4635
us_medicaid,US,healthcare_support,0.2865,0.5667,1,0,1,6,0.5184
br_sus,BR,healthcare_support,0.0,0.55,1,0,1,6,0.5934
br_bolsa_familia,BR,child_support,0.4812,0.6667,0,1,1,6,0.5687
in_pmaay,IN,housing_assistance,0.3373,0.3529,1,0,1,6,0.4664
in_nfsa,IN,food_assistance,0.1323,0.4333,0,0,1,6,0.5308
in_pmaay,IN,housing_assistance,0.0238,0.9216,1,0,1,6,0.6546
us_section8,US,housing_assistance,0.2114,0.5686,2,1,1,6,0.7559
br_idoso,BR,elderly_care,0.664,0.6333,2,0,1,6,0.326
in_pmjay,IN,healthcare_support,0.4171,0.6833,3,1,1,6,0.7061
us_snap,US,food_assistance,0.6415,0.8833,1,0,1,6,0.3877
us_medicaid,US,healthcare_support,0.3699,0.75,0,1,1,6,0.6379
us_medicaid,US,healthcare_support,0.3094,0.1167,0,0,1,6,0.3795
in_nsap,IN,elderly_care,0.7631,0.2,0,0,1,6,0.1729
in_pmjay,IN,healthcare_support,0.2841,0.55,3,0,1,6,0.5774
br_bpc,BR,disability_support,0.2714,0.8333,0,0,1,6,0.4427
us_section8,US,housing_assistance,0.3232,0.3922,2,1,1,6,0.6747
in_icds,IN,child_support,0.3634,0.6667,3,0,1,6,0.5833
us_unemployment,US,unemployment,0.0,0.5294,2,1,0,6,0.8353
in_pmjay,IN,healthcare_support,0.3196,0.6,2,1,1,6,0.7519
in_pmaay,IN,housing_assistance,0.4117,0.2353,1,1,1,6,0.6046
us_medicaid,US,healthcare_support,0.6084,0.2167,3,1,1,6,0.6184
in_nfsa,IN,food_assistance,0.2657,0.4167,0,1,1,6,0.6556
br_sus,BR,healthcare_support,0.0,0.1833,1,0,1,6,0.5835
br_minha_casa,BR,housing_assistance,0.646,0.3333,3,1,1,6,0.6206
br_bolsa_familia,BR,child_support,0.2092,0.7778,0,1,1,6,0.6526
us_tanf,US,child_support,0.2126,0.2222,0,0,1,6,0.4092
us_medicaid,US,healthcare_support,0.1773,0.5333,0,0,1,6,0.4711
us_unemployment,US,unemployment,0.0,0.7059,3,0,0,6,0.7067
br_sus,BR,healthcare_support,0.0,0.7167,3,1,1,6,0.8761
br_auxilio_emergencial,BR,unemployment,0.0,1.0,3,0,0,6,0.7329
br_minha_casa,BR,housing_assistance,0.4177,0.1569,3,0,1,6,0.4298
in_disability_pension,IN,disability_support,0.6328,0.6863,0,0,1,6,0.2507
us_ssdi,US,disability_support,0.0,0.7843,3,1,1,6,0.9223
us_tanf,US,child_support,0.4465,0.0,0,0,1,6,0.2948
br_minha_casa,BR,housing_assistance,0.4766,0.2745,2,0,1,6,0.4421
in_nsap,IN,elderly_care,0.4783,0.4667,1,1,1,6,0.6148
us_snap,US,food_assistance,0.385,0.1833,2,0,1,6,0.4199
in_pmjay,IN,healthcare_support,0.2694,0.65,1,0,1,6,0.5175
in_icds,IN,child_support,0.4578,1.0,3,0,1,6,0.5777
in_pmjay,IN,healthcare_support,0.291,0.35,0,1,1,6,0.5655
us_section8,US,housing_assistance,0.2663,0.9216,1,1,1,6,0.6807
us_snap,US,food_assistance,0.2712,0.8167,3,1,1,6,0.7792
br_bpc,BR,disability_support,0.5286,0.5333,1,0,1,6,0.3673
in_pmaay,IN,housing_assistance,0.4661,0.2941,1,0,1,6,0.3723
in_icds,IN,child_support,0.5614,0.6667,0,0,1,6,0.2777
in_disability_pension,IN,disability_support,0.4082,0.9608,1,0,1,6,0.5007
us_snap,US,food_assistance,0.2381,0.5833,3,0,1,6,0.5751
in_pmjay,IN,healthcare_support,0.515,0.1,2,0,1,6,0.4034
us_unemployment,US,unemployment,0.0,0.4314,1,0,0,6,0.6101
us_tanf,US,child_support,0.0945,0.5556,1,1,1,6,0.7696
in_pmaay,IN,housing_assistance,0.3085,0.3529,1,0,1,6,0.4533
in_pmaay,IN,housing_assistance,0.186,0.7255,0,1,1,6,0.7343
in_nfsa,IN,food_assistance,0.804,0.5167,0,0,1,6,0.1894
us_medicaid,US,healthcare_support,0.603,0.85,3,0,1,6,0.4362
us_section8,US,housing_assistance,0.0281,0.6667,0,0,1,6,0.5691
us_ssdi,US,disability_support,0.0,0.3725,1,0,1,6,0.5611
in_icds,IN,child_support,0.4778,1.0,1,0,1,6,0.4189
us_snap,US,food_assistance,0.6668,0.1167,1,0,1,6,0.2638
in_nsap,IN,elderly_care,0.0867,0.1333,0,0,1,6,0.4761
br_bpc,BR,disability_support,0.3906,0.15,1,1,1,6,0.6333
in_pmjay,IN,healthcare_support,0.3771,0.9167,2,0,1,6,0.5106
in_disability_pension,IN,disability_support,0.2291,0.3137,1,0,1,6,0.5268
br_idoso,BR,elderly_care,0.3657,0.7,1,0,1,6,0.5032
br_sus,BR,healthcare_support,0.0,0.95,3,1,1,6,0.9552
br_auxilio_emergencial,BR,unemployment,0.0,0.549,3,0,0,6,0.6744
br_sus,BR,healthcare_support,0.0,0.5167,0,0,1,6,0.5822
us_unemployment,US,unemployment,0.0,0.7843,1,0,0,6,0.653
in_pmaay,IN,housing_assistance,0.4349,0.3333,0,0,1,6,0.3179
br_idoso,BR,elderly_care,0.0895,0.6667,0,1,1,6,0.7313
br_sus,BR,healthcare_support,0.0,0.2833,1,0,1,6,0.5748
in_nfsa,IN,food_assistance,0.3902,0.2167,0,1,1,6,0.5542
br_auxilio_emergencial,BR,unemployment,0.0,0.8824,1,1,0,6,0.8854
us_medicaid,US,healthcare_support,0.4329,0.2833,1,1,1,6,0.5442
in_disability_pension,IN,disability_support,0.7075,0.4118,0,0,1,6,0.2432
in_pmjay,IN,healthcare_support,0.2303,0.0667,1,1,1,6,0.6236
us_medicaid,US,healthcare_support,0.2868,0.15,1,0,1,6,0.4065
us_snap,US,food_assistance,0.2975,0.5,0,0,1,6,0.4116
in_disability_pension,IN,disability_support,0.1966,0.2941,1,1,1,6,0.641
in_nsap,IN,elderly_care,0.9278,0.9333,1,1,1,6,0.3993
in_nsap,IN,elderly_care,0.6596,0.2,3,1,1,6,0.5513
in_pmjay,IN,healthcare_support,0.0979,0.25,1,1,1,6,0.7056
in_disability_pension,IN,disability_support,0.3273,0.1373,1,0,1,6,0.4316
us_medicaid,US,healthcare_support,0.0658,0.85,0,0,1,6,0.568
in_nfsa,IN,food_assistance,0.3247,0.8,0,0,1,6,0.4482
us_medicaid,US,healthcare_support,0.5144,0.7667,3,0,1,6,0.5075
in_nfsa,IN,food_assistance,0.5497,0.7,1,0,1,6,0.3661
br_auxilio_emergencial,BR,unemployment,0.0,0.6667,2,1,0,6,0.8563
in_nsap,IN,elderly_care,0.6362,0.2333,0,0,1,6,0.1889
in_icds,IN,child_support,0.2171,0.3333,2,0,1,6,0.5812
br_minha_casa,BR,housing_assistance,0.3393,0.098,3,1,1,6,0.6992
us_section8,US,housing_assistance,0.2061,0.8431,1,0,1,6,0.4938
br_bpc,BR,disability_support,0.4785,0.0167,1,1,1,6,0.527
br_bolsa_familia,BR,child_support,0.4934,0.0,3,1,1,6,0.6021
br_idoso,BR,elderly_care,0.4533,0.4,2,0,1,6,0.3911
br_bolsa_familia,BR,child_support,0.4037,0.6667,0,0,1,6,0.429
in_nfsa,IN,food_assistance,0.2076,0.1833,2,0,1,6,0.5348
us_section8,US,housing_assistance,0.0512,0.9804,2,0,1,6,0.6349
us_medicaid,US,healthcare_support,0.43,0.9833,0,1,1,6,0.5663
br_bolsa_familia,BR,child_support,0.2992,0.1111,1,0,1,6,0.4585
us_medicaid,US,healthcare_support,0.3831,0.3,1,1,1,6,0.6404
us_tanf,US,child_support,0.5175,0.5556,0,0,1,6,0.2764
in_disability_pension,IN,disability_support,0.2478,0.3333,1,1,1,6,0.6997
br_bpc,BR,disability_support,0.6542,0.9333,3,1,1,6,0.6761
in_nsap,IN,elderly_care,0.494,0.8333,3,0,1,6,0.5506
us_snap,US,food_assistance,0.2568,0.6833,2,0,1,6,0.5982
us_section8,US,housing_assistance,0.2554,0.7451,3,1,1,6,0.8506
br_minha_casa,BR,housing_assistance,0.3468,0.9804,1,0,1,6,0.5134
us_section8,US,housing_assistance,0.3745,0.5294,0,0,1,6,0.4126
br_idoso,BR,elderly_care,0.4249,0.9,0,1,1,6,0.5753
in_pmaay,IN,housing_assistance,0.2533,0.9608,1,0,1,6,0.5135
in_nsap,IN,elderly_care,0.5386,0.6,2,0,1,6,0.393
in_pmaay,IN,housing_assistance,0.5064,0.0,1,0,1,6,0.3671
in_nfsa,IN,food_assistance,0.6345,0.7333,2,0,1,6,0.339
in_disability_pension,IN,disability_support,0.2652,0.8824,3,1,1,6,0.856
br_minha_casa,BR,housing_assistance,0.4094,0.8627,1,1,1,6,0.6508
us_tanf,US,child_support,0.3638,0.2222,2,1,1,6,0.6549
us_section8,US,housing_assistance,0.2586,0.0588,0,0,1,6,0.4075
us_tanf,US,child_support,0.5441,0.3333,3,0,1,6,0.4687
br_bolsa_familia,BR,child_support,0.6962,0.2222,1,0,1,6,0.2242
us_snap,US,food_assistance,0.5583,0.1667,1,0,1,6,0.3527
us_unemployment,US,unemployment,0.0,0.0784,1,1,0,6,0.7926
br_sus,BR,healthcare_support,0.0,0.5667,2,1,1,6,0.8683
br_auxilio_emergencial,BR,unemployment,0.0,0.6471,1,0,0,6,0.6167
in_pmaay,IN,housing_assistance,0.6711,0.2745,1,0,1,6,0.2593
us_section8,US,housing_assistance,0.1065,0.3922,2,1,1,6,0.7566
us_section8,US,housing_assistance,0.4636,0.2157,0,1,1,6,0.4914
us_section8,US,housing_assistance,0.1315,0.3922,0,0,1,6,0.4443
br_bpc,BR,disability_support,0.7462,0.3,1,1,1,6,0.4032
br_bpc,BR,disability_support,0.5338,0.7667,0,0,1,6,0.355
us_snap,US,food_assistance,0.5414,0.9833,2,1,1,6,0.6329
us_medicaid,US,healthcare_support,0.4595,0.3833,2,1,1,6,0.6561
us_medicaid,US,healthcare_support,0.4253,0.25,1,0,1,6,0.4086
br_minha_casa,BR,housing_assistance,0.4361,0.1961,3,1,1,6,0.6449
br_auxilio_emergencial,BR,unemployment,0.0,0.4706,1,1,0,6,0.7888
us_tanf,US,child_support,0.0561,0.3333,1,1,1,6,0.7833
in_nfsa,IN,food_assistance,0.4915,0.75,2,1,1,6,0.6114
in_pmaay,IN,housing_assistance,0.1891,0.9608,1,0,1,6,0.5437
us_section8,US,housing_assistance,0.3669,0.9608,1,0,1,6,0.4527
us_medicaid,US,healthcare_support,0.3828,0.85,0,1,1,6,0.6336
br_bpc,BR,disability_support,0.3372,0.0,2,1,1,6,0.64
us_unemployment,US,unemployment,0.0,0.3333,1,0,0,6,0.6239
br_sus,BR,healthcare_support,0.0,0.4,0,0,1,6,0.5634
br_minha_casa,BR,housing_assistance,0.1161,0.5882,1,1,1,6,0.7746
in_icds,IN,child_support,0.2818,0.3333,3,0,1,6,0.5914
in_pmaay,IN,housing_assistance,0.4599,0.5686,1,0,1,6,0.3519
us_tanf,US,child_support,0.142,0.5556,2,0,1,6,0.5887
in_pmaay,IN,housing_assistance,0.4889,0.4314,1,1,1,6,0.6123
in_pmjay,IN,healthcare_support,0.2459,0.6833,3,0,1,6,0.6035
us_unemployment,US,unemployment,0.0,0.7059,0,0,0,6,0.6128
br_auxilio_emergencial,BR,unemployment,0.0,0.7059,1,0,0,6,0.6463
us_ssdi,US,disability_support,0.0,0.2353,3,1,1,6,0.8281
in_icds,IN,child_support,0.3835,0.0,0,0,1,6,0.2976
br_bpc,BR,disability_support,0.0475,0.8167,1,1,1,6,0.7715
us_snap,US,food_assistance,0.5492,0.4833,0,1,1,6,0.5414
br_auxilio_emergencial,BR,unemployment,0.0,0.7451,3,1,0,6,0.8849
br_idoso,BR,elderly_care,0.2451,0.1667,1,0,1,6,0.4378
br_auxilio_emergencial,BR,unemployment,0.0,0.098,1,0,0,6,0.5187
in_pmjay,IN,healthcare_support,0.8302,0.75,1,0,1,6,0.2248
br_bolsa_familia,BR,child_support,0.2308,0.0,0,0,1,6,0.3865
br_bpc,BR,disability_support,0.4062,0.4,1,0,1,6,0.429
br_idoso,BR,elderly_care,0.692,0.3333,0,0,1,6,0.214
us_ssdi,US,disability_support,0.0,0.8235,2,1,1,6,0.8833
us_ssdi,US,disability_support,0.0,0.902,1,1,1,6,0.8236
in_disability_pension,IN,disability_support,0.2672,0.8824,2,1,1,6,0.7516
in_nfsa,IN,food_assistance,0.2116,0.85,1,0,1,6,0.5484
in_pmaay,IN,housing_assistance,0.2831,0.8235,0,1,1,6,0.6708
br_bolsa_familia,BR,child_support,0.1811,0.8889,3,0,1,6,0.672
in_disability_pension,IN,disability_support,0.3039,0.1373,1,0,1,6,0.4259
in_nfsa,IN,food_assistance,0.2516,0.45,0,0,1,6,0.4062
br_idoso,BR,elderly_care,0.4614,0.1,0,1,1,6,0.4576
us_tanf,US,child_support,0.2043,0.1111,2,0,1,6,0.5521
br_idoso,BR,elderly_care,0.3694,1.0,1,0,1,6,0.473
br_auxilio_emergencial,BR,unemployment,0.0,0.4314,1,0,0,6,0.5895
in_nsap,IN,elderly_care,0.5633,0.7,1,0,1,6,0.4128
br_bolsa_familia,BR,child_support,0.2091,0.7778,1,1,1,6,0.7123
in_icds,IN,child_support,0.0735,0.3333,1,0,1,6,0.5499
us_medicaid,US,healthcare_support,0.2097,0.5333,3,1,1,6,0.7992
in_icds,IN,child_support,0.0758,0.3333,3,1,1,6,0.8804
br_bpc,BR,disability_support,0.3002,1.0,3,0,1,6,0.5668
us_snap,US,food_assistance,0.6137,0.2,1,1,1,6,0.4651
us_snap,US,food_assistance,0.4525,0.5,1,0,1,6,0.4155
in_icds,IN,child_support,0.678,0.6667,1,0,1,6,0.3478
us_tanf,US,child_support,0.7708,0.1111,2,1,1,6,0.4843
us_medicaid,US,healthcare_support,0.1587,0.6833,0,0,1,6,0.4776
in_nfsa,IN,food_assistance,0.3684,0.05,2,0,1,6,0.4163
us_ssdi,US,disability_support,0.0,0.0784,0,1,1,6,0.7018
us_snap,US,food_assistance,0.3511,0.8,0,0,1,6,0.392
us_section8,US,housing_assistance,0.1814,0.4314,1,0,1,6,0.5426
br_minha_casa,BR,housing_assistance,0.2499,0.0392,1,1,1,6,0.623
br_minha_casa,BR,housing_assistance,0.3722,0.451,1,1,1,6,0.6395
in_pmaay,IN,housing_assistance,0.221,0.4902,0,1,1,6,0.6213
us_tanf,US,child_support,0.727,0.7778,3,0,1,6,0.4087
us_unemployment,US,unemployment,0.0,0.8824,0,1,0,6,0.7894
us_section8,US,housing_assistance,0.2018,0.9216,1,0,1,6,0.5683
br_minha_casa,BR,housing_assistance,0.6654,0.8627,2,1,1,6,0.6073
us_ssdi,US,disability_support,0.0,0.1765,1,0,1,6,0.5878
us_tanf,US,child_support,0.441,0.1111,0,1,1,6,0.5583
br_sus,BR,healthcare_support,0.0,0.0667,0,0,1,6,0.4771
br_bolsa_familia,BR,child_support,0.0739,0.5556,1,0,1,6,0.5977
us_ssdi,US,disability_support,0.0,0.5098,1,1,1,6,0.8166
in_pmjay,IN,healthcare_support,0.6292,0.3833,3,0,1,6,0.4142
us_tanf,US,child_support,0.3681,0.4444,0,1,1,6,0.6017
us_medicaid,US,healthcare_support,0.1445,0.75,1,1,1,6,0.7498
br_idoso,BR,elderly_care,0.8014,0.5,1,0,1,6,0.2474
in_nsap,IN,elderly_care,0.6354,0.5333,1,0,1,6,0.3511
br_bpc,BR,disability_support,0.3253,1.0,3,1,1,6,0.794
us_medicaid,US,healthcare_support,0.4506,0.6833,2,1,1,6,0.6357
in_pmaay,IN,housing_assistance,0.1047,0.5686,0,0,1,6,0.5268
br_bolsa_familia,BR,child_support,0.1215,0.4444,1,0,1,6,0.5893
in_nfsa,IN,food_assistance,0.7402,0.85,3,1,1,6,0.6051
us_snap,US,food_assistance,0.0261,0.35,3,1,1,6,0.911
in_pmaay,IN,housing_assistance,0.4939,0.5686,1,0,1,6,0.3421
in_pmaay,IN,housing_assistance,0.5055,0.7647,0,1,1,6,0.5692
in_pmaay,IN,housing_assistance,0.4955,0.4118,1,0,1,6,0.3749
br_idoso,BR,elderly_care,0.6162,0.6667,3,1,1,6,0.6691
us_tanf,US,child_support,0.0224,0.8889,1,1,1,6,0.8662
in_nsap,IN,elderly_care,0.2281,0.0667,0,0,1,6,0.4072
br_bolsa_familia,BR,child_support,0.4535,0.4444,1,0,1,6,0.3696
in_pmjay,IN,healthcare_support,0.2599,0.6833,2,1,1,6,0.7982
in_nsap,IN,elderly_care,0.2947,0.3,0,0,1,6,0.4003
br_bolsa_familia,BR,child_support,0.211,1.0,1,0,1,6,0.5561
br_auxilio_emergencial,BR,unemployment,0.0,0.0,0,1,0,6,0.7358
in_nsap,IN,elderly_care,0.5596,0.4,0,0,1,6,0.335
br_idoso,BR,elderly_care,0.3338,0.6667,1,1,1,6,0.6385
br_auxilio_emergencial,BR,unemployment,0.0,0.2549,0,1,0,6,0.7188
in_icds,IN,child_support,0.7104,0.0,3,0,1,6,0.3167
us_section8,US,housing_assistance,0.3122,0.8039,1,0,1,6,0.5005
us_medicaid,US,healthcare_support,0.3307,0.8667,1,1,1,6,0.6511
in_nsap,IN,elderly_care,0.6234,0.3333,0,1,1,6,0.4426
us_snap,US,food_assistance,0.2377,0.6,0,1,1,6,0.6423
