text,category
I need advice. I am visually impaired and need assistive devices. Can you help me?,disability_support
"Hi, I lost my leg in an accident and need disability benefits. Can you help me?",disability_support
I am 70 years old and need help with my pension application.,elderly_care
"Hi there, I am a single mother raising two kids alone. I don't know where to start.",child_support
"Please help, My son has autism and needs special education support. What should I do?",disability_support
Urgent: I was laid off from my company. I don't know where to start.,unemployment
"Hi there, I am 70 years old and need help with my pension application. Please advise.",elderly_care
"Hello, My child needs school supplies and I have no income this month. Can you help me?",child_support
"Hello, We need access to a local food bank. Can you help me?",food_assistance
"Please help, I am homeless and need shelter assistance. I don't know where to start.",housing_assistance
Urgent: The company downsized and I lost my position. What should I do?,unemployment
"Hello, I need senior meal delivery services for my mother. Can you help me?",elderly_care
I need advice. My landlord raised the rent and I can't keep up. What should I do?,housing_assistance
My landlord raised the rent and I can't keep up. I don't know where to start.,housing_assistance
"Hi, We have triplets and need extra family support. Can you help me?",child_support
"Hi there, I've been unemployed for three months now. Please advise.",unemployment
My child needs vaccinations but we can't afford the clinic visit. What should I do?,healthcare_support
"Hi there, My business closed during the slowdown and I have no income. Please advise.",unemployment
"Hi, My son needs a new pair of shoes for school and we can't afford it. Can you help me?",child_support
"Please help, I recently had a baby and need childcare help.",child_support
I am a senior citizen living alone and need support services. What should I do?,elderly_care
Urgent: My child has a learning disability and needs special services. Please advise.,disability_support
Urgent: My son has autism and needs special education support. I don't know where to start.,disability_support
I need advice. We just adopted a child and need financial assistance. Please advise.,child_support
I need advice. My apartment building was condemned and we need new housing. I don't know where to start.,housing_assistance
"Hello, I lost my leg in an accident and need disability benefits. Can you help me?",disability_support
"Hello, My landlord raised the rent and I can't keep up. Can you help me?",housing_assistance
"Please help, I lost my job and now can't afford to feed my family. I don't know where to start.",food_assistance
I need advice. My contract ended and I haven't found new work. I don't know where to start.,unemployment
Urgent: My mother was diagnosed with cancer and needs treatment support. I don't know where to start.,healthcare_support
"Hi there, My family is struggling to put food on the table. I don't know where to start.",food_assistance
Urgent: I need financial help for my hospital bill. Can you help me?,healthcare_support
"Hi there, I am visually impaired and need assistive devices. What should I do?",disability_support
"Please help, I don't have health insurance and need to see a doctor. Please advise.",healthcare_support
"Hello, My grandfather has dementia and needs full time care. What should I do?",elderly_care
"Hi, I've been unemployed for three months now. Please advise.",unemployment
I need advice. My business closed during the slowdown and I have no income. I don't know where to start.,unemployment
"Hi there, I've been unemployed for three months now.",unemployment
I have a chronic illness that prevents me from working. Please advise.,disability_support
"Hello, We need access to a local food bank.",food_assistance
"Hello, We can't afford rent this month. I don't know where to start.",housing_assistance
"Hi there, I am a single mother raising two kids alone.",child_support
"Hi, The company downsized and I lost my position. Can you help me?",unemployment
"Hi there, I need a disability pension after my workplace injury. I don't know where to start.",disability_support
"Please help, I have a chronic illness that prevents me from working.",disability_support
Urgent: My husband had a heart attack and we need medical support. Can you help me?,healthcare_support
I need advice. The company downsized and I lost my position.,unemployment
I need advice. My apartment building was condemned and we need new housing.,housing_assistance
"Hi, My mother was diagnosed with cancer and needs treatment support. Please advise.",healthcare_support
Urgent: I require ongoing dialysis treatment and need assistance.,healthcare_support
I need advice. I broke my leg and have no way to pay for the hospital.,healthcare_support
"Hello, Our house was damaged in a flood and we need housing support. Can you help me?",housing_assistance
Urgent: I need help paying for my surgery. I don't know where to start.,healthcare_support
Urgent: I am a single mother raising two kids alone. What should I do?,child_support
Urgent: My income dropped and I can't buy enough food for my children.,food_assistance
I need senior meal delivery services for my mother. Can you help me?,elderly_care
"Hi there, I need senior meal delivery services for my mother. What should I do?",elderly_care
"Hello, I need a disability pension after my workplace injury. What should I do?",disability_support
"Hello, My child needs vaccinations but we can't afford the clinic visit.",healthcare_support
"Please help, I'm pregnant and need prenatal support services. Can you help me?",child_support
I was laid off from my company. I don't know where to start.,unemployment
"Please help, My daughter is in a wheelchair and needs accessibility support. Please advise.",disability_support
Urgent: I have a chronic illness that prevents me from working. I don't know where to start.,disability_support
"Hi, I was laid off from my company. What should I do?",unemployment
Urgent: I need help finding affordable housing for my family. Please advise.,housing_assistance
"Hi, My income dropped and I can't buy enough food for my children. I don't know where to start.",food_assistance
"Hi there, I need nutritional assistance for my newborn. I don't know where to start.",food_assistance
"Hi, I have a chronic illness that prevents me from working. Can you help me?",disability_support
My father needs medical assistance and we can't afford it. I don't know where to start.,healthcare_support
I need advice. The company downsized and I lost my position. I don't know where to start.,unemployment
"Hi, We can't afford rent this month. I don't know where to start.",housing_assistance
"Hi, I require ongoing dialysis treatment and need assistance.",healthcare_support
I need advice. I need nutritional assistance for my newborn. What should I do?,food_assistance
"Hi, My child needs school supplies and I have no income this month. What should I do?",child_support
We need access to a local food bank. Please advise.,food_assistance
"Hi there, I got fired and need help paying bills.",unemployment
"Please help, We just adopted a child and need financial assistance. What should I do?",child_support
"Hello, My father needs medical assistance and we can't afford it. What should I do?",healthcare_support
"Please help, I have severe arthritis and can no longer work full time. Please advise.",disability_support
"Hi there, I recently had a baby and need childcare help. I don't know where to start.",child_support
"Hi there, We just adopted a child and need financial assistance. I don't know where to start.",child_support
My grandfather has dementia and needs full time care.,elderly_care
"Please help, I need help paying for my surgery.",healthcare_support
"Hi, I am homeless and need shelter assistance. Please advise.",housing_assistance
My husband had a heart attack and we need medical support.,healthcare_support
"Please help, I need help getting food stamps. Please advise.",food_assistance
"Hi there, I need help finding a nursing home for my father. I don't know where to start.",elderly_care
"Please help, We just adopted a child and need financial assistance. I don't know where to start.",child_support
"Hi, I'm pregnant and need prenatal support services.",child_support
"Hi, I lost my job and now can't afford to feed my family. Can you help me?",food_assistance
I need advice. My business closed during the slowdown and I have no income.,unemployment
"Please help, I lost my leg in an accident and need disability benefits. Can you help me?",disability_support
Urgent: We ran out of food and have no money until next payday. I don't know where to start.,food_assistance
Urgent: I recently had a baby and need childcare help. What should I do?,child_support
Urgent: I am 70 years old and need help with my pension application. Please advise.,elderly_care
I need advice. I need help getting food stamps. What should I do?,food_assistance
My kids are going to school hungry and I need food support. Can you help me?,food_assistance
"Hello, My mother was diagnosed with cancer and needs treatment support. Please advise.",healthcare_support
"Hi, I need financial help for my hospital bill. Please advise.",healthcare_support
Urgent: We are living in our car and need emergency shelter. Can you help me?,housing_assistance
"Please help, My family is struggling to put food on the table. What should I do?",food_assistance
I am visually impaired and need assistive devices. What should I do?,disability_support
"Please help, I need a rental subsidy to keep my apartment.",housing_assistance
I have a permanent disability and need financial support. I don't know where to start.,disability_support
"Please help, My apartment building was condemned and we need new housing. Can you help me?",housing_assistance
"Please help, We just adopted a child and need financial assistance. Please advise.",child_support
"Hi, I need help getting food stamps. Can you help me?",food_assistance
"Hello, My elderly parents need assistance with daily activities.",elderly_care
"Hi there, I need a disability pension after my workplace injury. What should I do?",disability_support
"Hello, We are living in our car and need emergency shelter.",housing_assistance
"Hello, I broke my leg and have no way to pay for the hospital. I don't know where to start.",healthcare_support
"Please help, I need help getting food stamps.",food_assistance
"Please help, I have severe arthritis and can no longer work full time. Can you help me?",disability_support
"Hi there, I'm pregnant and need prenatal support services.",child_support
"Hi there, My kids are going to school hungry and I need food support. I don't know where to start.",food_assistance
I need advice. My parents are too old to live independently anymore. Can you help me?,elderly_care
"Please help, My contract ended and I haven't found new work. Can you help me?",unemployment
"Hello, I need a disability pension after my workplace injury. I don't know where to start.",disability_support
"Please help, I'm behind on my mortgage payments and may lose my home. I don't know where to start.",housing_assistance
"Please help, I got fired and need help paying bills.",unemployment
"Hi, My apartment building was condemned and we need new housing. What should I do?",housing_assistance
"Hi there, My apartment building was condemned and we need new housing.",housing_assistance
"Please help, We can't afford rent this month. Please advise.",housing_assistance
I need help paying for daycare for my toddler. I don't know where to start.,child_support
"Hi there, My kids are going to school hungry and I need food support. Can you help me?",food_assistance
I need nutritional assistance for my newborn. I don't know where to start.,food_assistance
I need senior meal delivery services for my mother. Please advise.,elderly_care
"Please help, We ran out of food and have no money until next payday. Can you help me?",food_assistance
Urgent: We just adopted a child and need financial assistance. What should I do?,child_support
Urgent: I require ongoing dialysis treatment and need assistance. I don't know where to start.,healthcare_support
"Please help, I was laid off from my company. I don't know where to start.",unemployment
Urgent: I am visually impaired and need assistive devices. What should I do?,disability_support
"Hello, My grandmother is 80 and needs in-home care.",elderly_care
I need advice. My parents are too old to live independently anymore. Can you help me?,elderly_care
I need advice. I recently had a baby and need childcare help. Please advise.,child_support
Urgent: I require ongoing dialysis treatment and need assistance.,healthcare_support
I need advice. I am homeless and need shelter assistance. Please advise.,housing_assistance
"Hello, I need help finding affordable housing for my family. Please advise.",housing_assistance
"Hi, I lost my job last week and don't know what to do.",unemployment
"Hi, I need financial help for my hospital bill. Please advise.",healthcare_support
"Please help, I lost my job last week and don't know what to do.",unemployment
Urgent: I broke my leg and have no way to pay for the hospital. What should I do?,healthcare_support
I need advice. My son has autism and needs special education support. What should I do?,disability_support
Urgent: The company downsized and I lost my position. What should I do?,unemployment
"Hi, I have severe arthritis and can no longer work full time.",disability_support
"Hi, I'm a single father struggling to support my children. What should I do?",child_support
I've been unemployed for three months now. What should I do?,unemployment
"Hi, I need financial help for my hospital bill. Please advise.",healthcare_support
"Hi, I am elderly and can't afford groceries on my pension. What should I do?",food_assistance
I need advice. I lost my job last week and don't know what to do.,unemployment
"Hello, I lost my leg in an accident and need disability benefits. Please advise.",disability_support
I have a permanent disability and need financial support. Can you help me?,disability_support
I need advice. We need access to a local food bank. I don't know where to start.,food_assistance
"Hi there, My landlord raised the rent and I can't keep up. I don't know where to start.",housing_assistance
"Please help, I need help finding a nursing home for my father. Can you help me?",elderly_care
Urgent: My landlord raised the rent and I can't keep up. Please advise.,housing_assistance
"Please help, I am homeless and need shelter assistance. Please advise.",housing_assistance
"Please help, We ran out of food and have no money until next payday. I don't know where to start.",food_assistance
"Hello, My son has autism and needs special education support. Can you help me?",disability_support
I quit my job because of unsafe conditions and need support. What should I do?,unemployment
"Please help, I'm a single father struggling to support my children. What should I do?",child_support
"Please help, We are living in our car and need emergency shelter. Can you help me?",housing_assistance
Urgent: I am homeless and need shelter assistance.,housing_assistance
"Please help, My income dropped and I can't buy enough food for my children. Please advise.",food_assistance
Urgent: My elderly aunt needs help with mobility and daily tasks. Please advise.,elderly_care
"Please help, We have triplets and need extra family support. I don't know where to start.",child_support
"Hello, I broke my leg and have no way to pay for the hospital. Please advise.",healthcare_support
I need advice. I need help finding affordable housing for my family. What should I do?,housing_assistance
"Please help, My contract ended and I haven't found new work. I don't know where to start.",unemployment
"Hello, I need senior meal delivery services for my mother. Can you help me?",elderly_care
I need financial help for my hospital bill.,healthcare_support
Urgent: I need help finding affordable housing for my family.,housing_assistance
I lost my job last week and don't know what to do. I don't know where to start.,unemployment
I need advice. My grandfather has dementia and needs full time care. What should I do?,elderly_care
My father needs medical assistance and we can't afford it. Please advise.,healthcare_support
My elderly parents need assistance with daily activities. Can you help me?,elderly_care
I need advice. My grandmother is 80 and needs in-home care.,elderly_care
Urgent: I have severe arthritis and can no longer work full time. Please advise.,disability_support
"Hello, We are living in our car and need emergency shelter. I don't know where to start.",housing_assistance
"Hi, My daughter is in a wheelchair and needs accessibility support. Can you help me?",disability_support
"Hello, I have a permanent disability and need financial support. I don't know where to start.",disability_support
"Hello, We need access to a local food bank. What should I do?",food_assistance
Urgent: I got fired and need help paying bills. What should I do?,unemployment
"Hi, I quit my job because of unsafe conditions and need support. Please advise.",unemployment
Urgent: My family is struggling to put food on the table.,food_assistance
Urgent: I lost my job and now can't afford to feed my family.,food_assistance
"Hi there, I was laid off from my company. What should I do?",unemployment
My daughter just started school and I need support with supplies. I don't know where to start.,child_support
Urgent: My father needs medical assistance and we can't afford it. Can you help me?,healthcare_support
I need advice. My parents are too old to live independently anymore.,elderly_care
"Hi, My apartment building was condemned and we need new housing. What should I do?",housing_assistance
"Hello, My daughter just started school and I need support with supplies. Please advise.",child_support
I need help paying for my surgery. I don't know where to start.,healthcare_support
"Hi there, I am elderly and can't afford groceries on my pension.",food_assistance
"Hi there, I need nutritional assistance for my newborn.",food_assistance
I need advice. I require ongoing dialysis treatment and need assistance. What should I do?,healthcare_support
Urgent: My contract ended and I haven't found new work. Please advise.,unemployment
"Hi there, I'm about to be evicted and need housing help. Can you help me?",housing_assistance
I have severe arthritis and can no longer work full time.,disability_support
Urgent: I need help finding affordable housing for my family. I don't know where to start.,housing_assistance
"Hi there, I need help finding affordable housing for my family. I don't know where to start.",housing_assistance
My landlord raised the rent and I can't keep up. Can you help me?,housing_assistance
I need advice. My employer shut down the factory and I'm out of work. Can you help me?,unemployment
"Hi, I'm a single father struggling to support my children.",child_support
My elderly aunt needs help with mobility and daily tasks. What should I do?,elderly_care
"Hi there, We can't afford rent this month. Please advise.",housing_assistance
Urgent: I lost my leg in an accident and need disability benefits. I don't know where to start.,disability_support
Urgent: My elderly aunt needs help with mobility and daily tasks. Can you help me?,elderly_care
I need advice. I need a disability pension after my workplace injury. Can you help me?,disability_support
"Hi, My husband had a heart attack and we need medical support. Can you help me?",healthcare_support
Urgent: I don't have health insurance and need to see a doctor. What should I do?,healthcare_support
"Hi there, We are living in our car and need emergency shelter. What should I do?",housing_assistance
My child needs vaccinations but we can't afford the clinic visit. I don't know where to start.,healthcare_support
"Hi there, I'm jobless and looking for unemployment benefits. Can you help me?",unemployment
Urgent: My daughter is in a wheelchair and needs accessibility support. Please advise.,disability_support
"Hello, My brother has Down syndrome and needs care services. Please advise.",disability_support
"Hi there, I need a rental subsidy to keep my apartment.",housing_assistance
"Please help, We can't afford rent this month. I don't know where to start.",housing_assistance
"Hi there, My child needs school supplies and I have no income this month. Can you help me?",child_support
"Hi there, My employer shut down the factory and I'm out of work. Please advise.",unemployment
I need advice. My son has autism and needs special education support. Please advise.,disability_support
Urgent: We need a caregiver for my aging mother. Can you help me?,elderly_care
I need advice. My contract ended and I haven't found new work. I don't know where to start.,unemployment
Urgent: I need a disability pension after my workplace injury. Please advise.,disability_support
I lost my job and now can't afford to feed my family. Can you help me?,food_assistance
"Hi there, My wife is pregnant and we need maternal healthcare support. What should I do?",healthcare_support
I need advice. I've been unemployed for three months now.,unemployment
I need help paying for daycare for my toddler. Please advise.,child_support
I need advice. I have a chronic illness that prevents me from working. What should I do?,disability_support
"Please help, I was laid off from my company. What should I do?",unemployment
"Hi there, I'm about to be evicted and need housing help. Can you help me?",housing_assistance
My elderly aunt needs help with mobility and daily tasks. Can you help me?,elderly_care
"Hi, I quit my job because of unsafe conditions and need support. Can you help me?",unemployment
Urgent: I don't have health insurance and need to see a doctor. Please advise.,healthcare_support
I need advice. My kids are going to school hungry and I need food support. What should I do?,food_assistance
I need advice. My elderly aunt needs help with mobility and daily tasks. I don't know where to start.,elderly_care
I don't have health insurance and need to see a doctor.,healthcare_support
"Hi, My wife is pregnant and we need maternal healthcare support. What should I do?",healthcare_support
"Please help, My contract ended and I haven't found new work. Please advise.",unemployment
I need advice. Our house was damaged in a flood and we need housing support. Can you help me?,housing_assistance
"Hello, My brother has Down syndrome and needs care services.",disability_support
"Hello, My child has a learning disability and needs special services. What should I do?",disability_support
"Hi there, My daughter is in a wheelchair and needs accessibility support. Please advise.",disability_support
"Please help, I don't have enough money to buy groceries this week. I don't know where to start.",food_assistance
Urgent: I need a rental subsidy to keep my apartment. What should I do?,housing_assistance
"Hi, I need help finding affordable housing for my family. Can you help me?",housing_assistance
I need advice. My brother has Down syndrome and needs care services. Can you help me?,disability_support
Urgent: I need help paying for daycare for my toddler. What should I do?,child_support
Urgent: My business closed during the slowdown and I have no income. Can you help me?,unemployment
Urgent: My grandfather has dementia and needs full time care. What should I do?,elderly_care
"Hi there, My wife is pregnant and we need maternal healthcare support.",healthcare_support
"Hi, My contract ended and I haven't found new work. What should I do?",unemployment
My brother has Down syndrome and needs care services. What should I do?,disability_support
My family is struggling to put food on the table. Please advise.,food_assistance
"Hi, I'm about to be evicted and need housing help.",housing_assistance
"Hello, I'm pregnant and need prenatal support services. Can you help me?",child_support
Urgent: I recently had a baby and need childcare help.,child_support
"Please help, We need a caregiver for my aging mother.",elderly_care
"Hello, I am homeless and need shelter assistance.",housing_assistance
"Please help, I have a permanent disability and need financial support. Please advise.",disability_support
Urgent: I don't have health insurance and need to see a doctor. I don't know where to start.,healthcare_support
I need advice. Our house was damaged in a flood and we need housing support. Please advise.,housing_assistance
"Hello, My daughter is in a wheelchair and needs accessibility support. Please advise.",disability_support
"Hi, I am a single mother raising two kids alone. Can you help me?",child_support
Urgent: I am 70 years old and need help with my pension application.,elderly_care
"Hello, My husband had a heart attack and we need medical support. What should I do?",healthcare_support
"Hi, My father needs medical assistance and we can't afford it.",healthcare_support
"Please help, My grandfather has dementia and needs full time care.",elderly_care
"Hi there, I am 70 years old and need help with my pension application. What should I do?",elderly_care
"Hi there, I'm jobless and looking for unemployment benefits.",unemployment
I don't have health insurance and need to see a doctor. Can you help me?,healthcare_support
"Hi there, I'm behind on my mortgage payments and may lose my home. What should I do?",housing_assistance
"Hello, My employer shut down the factory and I'm out of work. Please advise.",unemployment
My child has a learning disability and needs special services.,disability_support
I need advice. My child needs school supplies and I have no income this month. Can you help me?,child_support
My employer shut down the factory and I'm out of work.,unemployment
"Hello, My family is struggling to put food on the table. Can you help me?",food_assistance
My grandmother is 80 and needs in-home care. I don't know where to start.,elderly_care
"Hi there, I quit my job because of unsafe conditions and need support.",unemployment
Urgent: I don't have enough money to buy groceries this week. I don't know where to start.,food_assistance
Urgent: I'm jobless and looking for unemployment benefits.,unemployment
"Hi, I lost my job and now can't afford to feed my family.",food_assistance
I need advice. I need nutritional assistance for my newborn. Can you help me?,food_assistance
I am a single mother raising two kids alone.,child_support
"Please help, I don't have enough money to buy groceries this week. Please advise.",food_assistance
"Hi, I need help paying for daycare for my toddler. What should I do?",child_support
"Hi, My mother was diagnosed with cancer and needs treatment support. Please advise.",healthcare_support
"Hello, I have a chronic illness that prevents me from working. I don't know where to start.",disability_support
I need help paying for daycare for my toddler.,child_support
I need advice. We have triplets and need extra family support. I don't know where to start.,child_support
I need advice. I am a senior citizen living alone and need support services. Can you help me?,elderly_care
"Hi there, My apartment building was condemned and we need new housing. Can you help me?",housing_assistance
I need advice. I got fired and need help paying bills. Can you help me?,unemployment
"Hi there, I have a permanent disability and need financial support.",disability_support
"Hi there, I am elderly and can't afford groceries on my pension.",food_assistance
"Please help, I'm a single father struggling to support my children. What should I do?",child_support
I need advice. I need financial help for my hospital bill. I don't know where to start.,healthcare_support
I need advice. I need help getting food stamps. What should I do?,food_assistance
"Hi, I was laid off from my company. I don't know where to start.",unemployment
"Hello, My brother has Down syndrome and needs care services. Please advise.",disability_support
"Hi, We have triplets and need extra family support. Can you help me?",child_support
"Hi there, My elderly aunt needs help with mobility and daily tasks.",elderly_care
My son has autism and needs special education support. Can you help me?,disability_support
I need advice. My elderly parents need assistance with daily activities. What should I do?,elderly_care
"Please help, I need nutritional assistance for my newborn. What should I do?",food_assistance
My son needs a new pair of shoes for school and we can't afford it. I don't know where to start.,child_support
Urgent: I quit my job because of unsafe conditions and need support. Please advise.,unemployment
I need advice. I'm about to be evicted and need housing help. What should I do?,housing_assistance
"Hi there, My elderly parents need assistance with daily activities. What should I do?",elderly_care
"Hi there, I am a single mother raising two kids alone. What should I do?",child_support
"Please help, My child needs school supplies and I have no income this month. Please advise.",child_support
"Hello, My child has a learning disability and needs special services.",disability_support
"Hi there, I'm pregnant and need prenatal support services. Can you help me?",child_support
I need advice. I am a senior citizen living alone and need support services. What should I do?,elderly_care
I require ongoing dialysis treatment and need assistance.,healthcare_support
"Hi there, I don't have enough money to buy groceries this week. Please advise.",food_assistance
Urgent: My grandmother is 80 and needs in-home care. Can you help me?,elderly_care
I'm behind on my mortgage payments and may lose my home. What should I do?,housing_assistance
My mother was diagnosed with cancer and needs treatment support. Can you help me?,healthcare_support
"Hello, I broke my leg and have no way to pay for the hospital. What should I do?",healthcare_support
"Please help, I've been unemployed for three months now. Please advise.",unemployment
"Please help, I recently had a baby and need childcare help. What should I do?",child_support
"Please help, I am 70 years old and need help with my pension application. I don't know where to start.",elderly_care
"Hi there, We ran out of food and have no money until next payday. I don't know where to start.",food_assistance
"Hi, My daughter is in a wheelchair and needs accessibility support. Please advise.",disability_support
"Hello, My wife is pregnant and we need maternal healthcare support. What should I do?",healthcare_support
I need advice. I lost my job last week and don't know what to do. I don't know where to start.,unemployment
Urgent: I need help getting food stamps. Can you help me?,food_assistance
Urgent: My income dropped and I can't buy enough food for my children. What should I do?,food_assistance
"Hi, My wife is pregnant and we need maternal healthcare support. Please advise.",healthcare_support
I'm pregnant and need prenatal support services. Can you help me?,child_support
"Hi there, I don't have enough money to buy groceries this week. What should I do?",food_assistance
"Hi there, My wife is pregnant and we need maternal healthcare support. Can you help me?",healthcare_support
I need advice. I need help paying for daycare for my toddler.,child_support
I need a disability pension after my workplace injury. What should I do?,disability_support
"Hello, My parents are too old to live independently anymore. What should I do?",elderly_care
We can't afford rent this month. Please advise.,housing_assistance
I need advice. My son needs a new pair of shoes for school and we can't afford it. Can you help me?,child_support
I need advice. My brother has Down syndrome and needs care services. I don't know where to start.,disability_support
"Hi there, I need a rental subsidy to keep my apartment. Can you help me?",housing_assistance
"Hi, My grandmother is 80 and needs in-home care.",elderly_care
"Hi there, I need a rental subsidy to keep my apartment. I don't know where to start.",housing_assistance
"Hello, The company downsized and I lost my position. What should I do?",unemployment
"Hi there, My daughter just started school and I need support with supplies. What should I do?",child_support
Urgent: I recently had a baby and need childcare help. What should I do?,child_support
"Hello, My daughter just started school and I need support with supplies. Can you help me?",child_support
"Hello, We ran out of food and have no money until next payday. Can you help me?",food_assistance
"Hi, My grandfather has dementia and needs full time care. Please advise.",elderly_care
"Please help, I need help finding a nursing home for my father. Please advise.",elderly_care
I need advice. My landlord raised the rent and I can't keep up.,housing_assistance
"Hi, My son needs a new pair of shoes for school and we can't afford it. I don't know where to start.",child_support
Urgent: My business closed during the slowdown and I have no income.,unemployment
"Hi there, I require ongoing dialysis treatment and need assistance. Please advise.",healthcare_support
"Hi, I don't have health insurance and need to see a doctor. Please advise.",healthcare_support
I need advice. My mother was diagnosed with cancer and needs treatment support. Please advise.,healthcare_support
"Please help, We have triplets and need extra family support. Can you help me?",child_support
Urgent: I got fired and need help paying bills. Please advise.,unemployment
"Hi there, I have a permanent disability and need financial support. Can you help me?",disability_support
Urgent: My father needs medical assistance and we can't afford it. I don't know where to start.,healthcare_support
Urgent: My employer shut down the factory and I'm out of work. Please advise.,unemployment
I need advice. I need senior meal delivery services for my mother. Can you help me?,elderly_care
"Please help, My child needs school supplies and I have no income this month.",child_support
"Please help, My kids are going to school hungry and I need food support. Can you help me?",food_assistance
"Hi there, I recently had a baby and need childcare help. Please advise.",child_support
I need advice. I broke my leg and have no way to pay for the hospital. What should I do?,healthcare_support
Urgent: My grandmother is 80 and needs in-home care. I don't know where to start.,elderly_care
"Hi, I lost my job and now can't afford to feed my family. I don't know where to start.",food_assistance
I need advice. I don't have enough money to buy groceries this week. Can you help me?,food_assistance
"Hi there, My income dropped and I can't buy enough food for my children. What should I do?",food_assistance
"Hi, I quit my job because of unsafe conditions and need support.",unemployment
"Hi, I require ongoing dialysis treatment and need assistance. Can you help me?",healthcare_support
"Please help, The company downsized and I lost my position. Please advise.",unemployment
"Hi, I am elderly and can't afford groceries on my pension. What should I do?",food_assistance
"Hello, My parents are too old to live independently anymore. Please advise.",elderly_care
"Hi there, We have triplets and need extra family support.",child_support
"Hi there, We ran out of food and have no money until next payday. Can you help me?",food_assistance
"Please help, I don't have enough money to buy groceries this week. What should I do?",food_assistance
My parents are too old to live independently anymore. Can you help me?,elderly_care
I've been unemployed for three months now. What should I do?,unemployment
"Please help, I need a rental subsidy to keep my apartment. What should I do?",housing_assistance
"Please help, I am a senior citizen living alone and need support services. I don't know where to start.",elderly_care
Urgent: Our house was damaged in a flood and we need housing support. What should I do?,housing_assistance
Urgent: I am 70 years old and need help with my pension application.,elderly_care
Urgent: My income dropped and I can't buy enough food for my children.,food_assistance
"Hello, I lost my job and now can't afford to feed my family. Can you help me?",food_assistance
"Hello, I don't have enough money to buy groceries this week. Can you help me?",food_assistance
"Please help, I need help finding a nursing home for my father. Please advise.",elderly_care
"Hi, My child needs vaccinations but we can't afford the clinic visit. Can you help me?",healthcare_support
Urgent: We need a caregiver for my aging mother.,elderly_care
I need advice. I am visually impaired and need assistive devices. Can you help me?,disability_support
